product,product_group,facility_type,reporting_month,High_Transmission_Preparation,zone_type,beginning_balance,quantity_received,quantity_dispensed,total_losses_and_adjustments,stock_in_hand,months_of_stock,stock_status,amc,quantity_approved
ACT-AD,ACT,HEALTH CENTER,November,NO,RURAL,776.0,2.0,207.0,482,542.0,9.0,Overstock,60.0,27.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,98.0,0.0,46.0,-30,51.0,1.8,Low,29.0,27.0
ACT-INF,ACT,HEALTH CENTER,August,YES,URBAN,3151.0,1044.0,1539.0,51,1304.0,1.1,Low,1239.0,8181.0
ACT-AD,ACT,HEALTH CENTER,February,NO,RURAL,2568.0,1.0,924.0,-1255,165.0,0.4,Critical,443.0,0.0
ACT-INF,ACT,HEALTH CENTER,May,YES,RURAL,153.0,0.0,47.0,-30,718.0,26.6,Overstock,27.0,1.0
ART-SUP,ART,HEALTH CENTER,May,YES,URBAN,713.0,64.0,124.0,-694,435.0,2.1,Low,206.0,3126.0
ACT-INF,ACT,HEALTH CENTER,May,YES,RURAL,1913.0,0.0,448.0,207,446.0,0.8,Critical,572.0,583.0
RDT,DIAG,HOSPITAL,May,YES,RURAL,15.0,0.0,15.0,-315,4.0,0.3,Critical,12.0,20.0
ART-SUP,ART,HEALTH CENTER,August,YES,URBAN,1242.0,22.0,169.0,-479,652.0,5.1,Overstock,127.0,38.0
ACT-AD,ACT,HEALTH CENTER,February,NO,RURAL,2920.0,0.0,69.0,328,3460.0,14.8,Overstock,233.0,0.0
ACT-AD,ACT,HEALTH CENTER,November,NO,URBAN,5832.0,71.0,1019.0,-397,3820.0,4.0,Adequate,944.0,15128.0
ITN,PREV,HEALTH CENTER,August,YES,URBAN,2082.0,466.0,517.0,252,3688.0,18.1,Overstock,204.0,590.0
ART-INJ,ART,HEALTH CENTER,February,NO,URBAN,310.0,64.0,229.0,-651,95.0,0.3,Critical,357.0,1956.0
QUIN,SP,HEALTH CENTER,February,NO,RURAL,310.0,0.0,200.0,-403,200.0,1.3,Low,149.0,576.0
ACT-GC,ACT,HOSPITAL,February,NO,RURAL,652.0,53.0,67.0,326,163.0,2.2,Low,75.0,43.0
ART-SUP,ART,HEALTH CENTER,November,NO,URBAN,224.0,395.0,298.0,-269,345.0,6.4,Overstock,54.0,204.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,1176.0,248.0,587.0,692,435.0,0.6,Critical,750.0,174.0
ACT-AD,ACT,HEALTH CENTER,May,YES,URBAN,102.0,336.0,16.0,-53,85.0,9.4,Overstock,9.0,539.0
ACT-AD,ACT,HEALTH CENTER,May,YES,URBAN,78.0,613.0,79.0,-276,73.0,0.9,Critical,82.0,249.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,1664.0,1107.0,318.0,-46,1882.0,23.8,Overstock,79.0,4.0
ITN,PREV,HEALTH CENTER,February,NO,RURAL,52.0,0.0,49.0,531,202.0,2.3,Low,88.0,342.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,1809.0,958.0,731.0,-44,3156.0,3.1,Adequate,1031.0,351.0
SP,SP,HEALTH CENTER,February,NO,URBAN,676.0,0.0,549.0,710,471.0,0.8,Critical,587.0,8214.0
ACT-SC,ACT,HEALTH CENTER,May,YES,URBAN,380.0,78.0,402.0,325,120.0,0.3,Critical,461.0,65.0
ITN,PREV,HEALTH CENTER,May,YES,RURAL,2051.0,281.0,1315.0,-706,1778.0,1.2,Low,1437.0,697.0
ACT-SC,ACT,HEALTH CENTER,May,YES,RURAL,513.0,16.0,383.0,-867,292.0,0.8,Critical,345.0,0.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,3585.0,33.0,208.0,216,2837.0,28.4,Overstock,100.0,217.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,3198.0,1.0,410.0,-492,2221.0,7.9,Overstock,282.0,34.0
ACT-SC,ACT,HEALTH CENTER,August,YES,RURAL,18.0,0.0,5.0,1110,22.0,22.0,Overstock,1.0,17.0
ACT-AD,ACT,HEALTH CENTER,May,YES,RURAL,1528.0,607.0,487.0,231,823.0,2.8,Low,292.0,75.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,94.0,10.0,116.0,748,795.0,16.9,Overstock,47.0,1.0
ACT-AD,ACT,HEALTH CENTER,August,YES,RURAL,2299.0,306.0,672.0,-365,813.0,1.4,Low,588.0,154.0
ACT-SC,ACT,HEALTH CENTER,August,YES,RURAL,996.0,0.0,67.0,135,822.0,137.0,Overstock,6.0,39.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,RURAL,50.0,293.0,17.0,329,70.0,11.7,Overstock,6.0,48.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,956.0,0.0,304.0,215,1068.0,6.7,Overstock,159.0,30.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,RURAL,105.0,0.0,20.0,424,171.0,5.7,Overstock,30.0,5.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,2845.0,894.0,1324.0,446,5400.0,6.2,Overstock,864.0,105.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,658.0,1098.0,522.0,49,1559.0,4.0,Adequate,385.0,1.0
SP,SP,HEALTH CENTER,February,NO,RURAL,1741.0,38.0,792.0,-44,721.0,1.2,Low,587.0,2995.0
ACT-INF,ACT,HEALTH CENTER,May,YES,RURAL,3146.0,105.0,593.0,357,1674.0,2.7,Low,621.0,6260.0
ART-INJ,ART,HEALTH CENTER,May,YES,URBAN,2030.0,203.0,674.0,-1066,2250.0,4.7,Adequate,476.0,39.0
ITN,PREV,HEALTH CENTER,February,NO,RURAL,167.0,2.0,518.0,-179,139.0,0.7,Critical,212.0,2704.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,1667.0,10.0,590.0,-456,2322.0,5.3,Overstock,435.0,125.0
SP,SP,HEALTH CENTER,August,YES,URBAN,1069.0,34.0,228.0,-926,442.0,1.5,Low,298.0,833.0
PYRA-SAC,PYRA,HOSPITAL,May,YES,RURAL,4311.0,610.0,841.0,396,2352.0,2.8,Low,843.0,4754.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,2038.0,602.0,1147.0,-471,2950.0,2.1,Low,1376.0,3377.0
ACT-GC,ACT,HEALTH CENTER,May,YES,URBAN,2493.0,1.0,256.0,206,1936.0,50.9,Overstock,38.0,0.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,1493.0,5.0,256.0,-435,927.0,5.9,Overstock,158.0,1.0
SP,SP,HEALTH CENTER,August,YES,RURAL,6303.0,6.0,2051.0,-142,6467.0,3.0,Adequate,2153.0,7058.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,288.0,0.0,253.0,345,223.0,1.3,Low,170.0,1.0
ACT-INF,ACT,HEALTH CENTER,August,YES,URBAN,3832.0,677.0,1015.0,-838,6571.0,6.4,Overstock,1026.0,66.0
SP,SP,HEALTH CENTER,May,YES,RURAL,1029.0,96.0,187.0,-428,707.0,7.1,Overstock,100.0,4.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,208.0,21.0,493.0,577,249.0,0.6,Critical,418.0,4971.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,1770.0,112.0,531.0,-222,2645.0,6.0,Overstock,438.0,2940.0
QUIN,SP,HEALTH CENTER,February,NO,URBAN,473.0,4.0,118.0,-356,1119.0,559.5,Overstock,2.0,0.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,1161.0,0.0,184.0,347,108.0,0.6,Critical,191.0,3.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,165.0,550.0,102.0,645,229.0,2.9,Low,79.0,449.0
ACT-INF,ACT,HEALTH CENTER,February,NO,URBAN,6210.0,64.0,1142.0,314,5145.0,5.7,Overstock,895.0,4.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,36.0,15.0,16.0,-194,21.0,7.0,Overstock,3.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,URBAN,4.0,0.0,13.0,-52,2.0,0.2,Critical,8.0,1.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,2546.0,20.0,780.0,58,329.0,0.4,Critical,822.0,13268.0
SP,SP,HEALTH CENTER,August,YES,RURAL,1247.0,0.0,30.0,-43,243.0,5.9,Overstock,41.0,0.0
ACT-AD,ACT,HEALTH CENTER,August,YES,URBAN,176.0,0.0,58.0,330,43.0,0.4,Critical,119.0,548.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,356.0,19.0,98.0,-376,2606.0,113.3,Overstock,23.0,0.0
RDT,DIAG,HOSPITAL,November,NO,RURAL,158.0,921.0,354.0,-501,1011.0,2.5,Low,403.0,5.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,868.0,1.0,253.0,-114,862.0,9.5,Overstock,91.0,7581.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,776.0,0.0,147.0,-194,52.0,5.8,Overstock,9.0,2.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,765.0,92.0,191.0,22,1326.0,39.0,Overstock,34.0,3.0
ACT-AD,ACT,HOSPITAL,November,NO,RURAL,287.0,2.0,128.0,120,1464.0,29.9,Overstock,49.0,4.0
QUIN,SP,HEALTH CENTER,February,NO,RURAL,76.0,12.0,165.0,63,435.0,0.7,Critical,632.0,2261.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,2767.0,578.0,629.0,-40,2137.0,7.4,Overstock,289.0,1152.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,URBAN,1378.0,0.0,38.0,-427,204.0,5.8,Overstock,35.0,90.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,0.0,1.0,0.0,483,2.0,,Unknown,0.0,0.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,2093.0,0.0,1056.0,-12,735.0,1.0,Critical,768.0,56.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,1.0,16.0,14.0,-604,46.0,23.0,Overstock,2.0,4.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,605.0,365.0,102.0,-57,1464.0,21.2,Overstock,69.0,555.0
ITN,PREV,HEALTH CENTER,November,NO,URBAN,339.0,1.0,45.0,-215,246.0,30.8,Overstock,8.0,1.0
ACT-AD,ACT,HEALTH CENTER,May,YES,RURAL,9062.0,14.0,2219.0,-861,5705.0,4.3,Adequate,1332.0,277.0
ART-SUP,ART,HEALTH CENTER,November,NO,URBAN,3328.0,1556.0,1550.0,-875,3004.0,2.1,Low,1426.0,4.0
QUIN,SP,HEALTH CENTER,August,YES,URBAN,328.0,1.0,140.0,-158,437.0,3.2,Adequate,135.0,66.0
ART-SUP,ART,HEALTH CENTER,November,NO,URBAN,3362.0,231.0,386.0,-28,1036.0,8.5,Overstock,122.0,862.0
SP,SP,HEALTH CENTER,February,NO,RURAL,2865.0,0.0,383.0,246,4605.0,31.8,Overstock,145.0,109.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,1551.0,1.0,696.0,-206,2184.0,7.3,Overstock,300.0,119.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,URBAN,511.0,35.0,126.0,691,901.0,24.4,Overstock,37.0,0.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,1426.0,177.0,351.0,405,1780.0,4.4,Adequate,402.0,1788.0
ART-SUP,ART,HEALTH CENTER,February,NO,URBAN,945.0,5.0,72.0,247,411.0,6.5,Overstock,63.0,1586.0
ACT-SC,ACT,HEALTH CENTER,May,YES,RURAL,4954.0,1259.0,2348.0,-811,3867.0,1.1,Low,3487.0,15383.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,1460.0,963.0,185.0,541,3064.0,71.3,Overstock,43.0,0.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,3955.0,7.0,615.0,640,5619.0,7.1,Overstock,788.0,0.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,168.0,26.0,20.0,-261,13.0,1.2,Low,11.0,0.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,539.0,1.0,215.0,-440,386.0,0.8,Critical,481.0,4.0
ITN,PREV,HOSPITAL,February,NO,URBAN,729.0,212.0,406.0,-334,631.0,5.8,Overstock,109.0,1.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,URBAN,708.0,636.0,339.0,342,1698.0,6.6,Overstock,259.0,860.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,3.0,9.0,12.0,-150,51.0,4.6,Adequate,11.0,48.0
SP,SP,HEALTH CENTER,May,YES,RURAL,20.0,75.0,1.0,269,22.0,22.0,Overstock,1.0,21.0
ITN,PREV,HEALTH CENTER,August,YES,URBAN,57.0,1.0,77.0,-7,8.0,0.2,Critical,45.0,1964.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,3077.0,0.0,315.0,-719,319.0,0.6,Critical,518.0,2448.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,338.0,241.0,49.0,550,358.0,19.9,Overstock,18.0,2.0
ACT-SC,ACT,HEALTH CENTER,August,YES,URBAN,594.0,582.0,463.0,335,580.0,0.7,Critical,875.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,RURAL,447.0,19.0,246.0,444,495.0,3.5,Adequate,141.0,2.0
ART-INJ,ART,HEALTH CENTER,February,NO,URBAN,1405.0,23.0,757.0,-871,1199.0,1.6,Low,747.0,5606.0
ACT-AD,ACT,HEALTH CENTER,May,YES,URBAN,667.0,1.0,15.0,-624,733.0,733.0,Overstock,1.0,2.0
SP,SP,HEALTH CENTER,May,YES,URBAN,244.0,10.0,19.0,-294,65.0,5.4,Overstock,12.0,1.0
ACT-AD,ACT,HEALTH CENTER,May,YES,URBAN,5.0,41.0,71.0,0,82.0,0.9,Critical,96.0,42.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,80.0,45.0,102.0,143,187.0,7.8,Overstock,24.0,2415.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,URBAN,1726.0,10.0,290.0,264,1357.0,12.1,Overstock,112.0,636.0
ITN,PREV,HEALTH CENTER,November,NO,URBAN,1040.0,0.0,192.0,-495,371.0,1.4,Low,269.0,646.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,80.0,238.0,130.0,-502,580.0,20.0,Overstock,29.0,23.0
RDT,DIAG,HEALTH CENTER,August,YES,URBAN,879.0,1040.0,947.0,66,2550.0,3.3,Adequate,779.0,177.0
ACT-SC,ACT,HEALTH CENTER,May,YES,URBAN,5.0,0.0,1.0,-137,6.0,,Unknown,0.0,391.0
SP,SP,HEALTH CENTER,November,NO,URBAN,714.0,0.0,238.0,-468,296.0,1.4,Low,212.0,49.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,10831.0,8.0,1212.0,10,8070.0,14.6,Overstock,553.0,0.0
SP,SP,HEALTH CENTER,February,NO,RURAL,1518.0,0.0,128.0,194,459.0,2.2,Low,210.0,0.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,5.0,1.0,3.0,-3,18.0,9.0,Overstock,2.0,0.0
ACT-SC,ACT,HEALTH CENTER,August,YES,RURAL,2922.0,37.0,282.0,110,3221.0,19.9,Overstock,162.0,0.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,578.0,0.0,116.0,469,74.0,0.3,Critical,241.0,989.0
ITN,PREV,HEALTH CENTER,May,YES,RURAL,2570.0,345.0,1235.0,982,8066.0,3.3,Adequate,2441.0,2477.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,710.0,0.0,156.0,380,69.0,0.8,Critical,87.0,71.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,891.0,5.0,620.0,572,382.0,0.7,Critical,573.0,2296.0
ACT-INF,ACT,HEALTH CENTER,February,NO,RURAL,8.0,13.0,29.0,213,127.0,6.0,Overstock,21.0,1.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,69.0,211.0,137.0,292,286.0,1.8,Low,161.0,762.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,2901.0,407.0,860.0,341,1521.0,5.2,Overstock,291.0,122.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,3177.0,59.0,1109.0,414,1382.0,1.0,Critical,1367.0,12926.0
SP,SP,HEALTH CENTER,August,YES,URBAN,8559.0,66.0,1795.0,-236,6138.0,2.6,Low,2361.0,4450.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,1200.0,999.0,374.0,-55,2429.0,7.3,Overstock,332.0,0.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,664.0,1.0,598.0,-207,397.0,0.9,Critical,443.0,226.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,400.0,1.0,55.0,437,251.0,31.4,Overstock,8.0,0.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,14.0,0.0,12.0,597,90.0,90.0,Overstock,1.0,4119.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,1357.0,43.0,337.0,-91,636.0,3.2,Adequate,201.0,0.0
ITN,PREV,HEALTH CENTER,May,YES,RURAL,13.0,3.0,40.0,180,45.0,1.2,Low,36.0,0.0
ACT-INF,ACT,HEALTH CENTER,May,YES,RURAL,43.0,286.0,27.0,-295,177.0,17.7,Overstock,10.0,0.0
ACT-GC,ACT,HEALTH CENTER,February,NO,URBAN,452.0,407.0,66.0,-591,2542.0,16.6,Overstock,153.0,0.0
ACT-SC,ACT,HEALTH CENTER,August,YES,RURAL,1270.0,1.0,276.0,134,2732.0,28.2,Overstock,97.0,28.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,2329.0,8.0,236.0,32,874.0,2.7,Low,320.0,3973.0
ACT-GC,ACT,HEALTH CENTER,August,YES,URBAN,0.0,0.0,28.0,319,1.0,0.2,Critical,4.0,17.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,131.0,908.0,66.0,122,381.0,76.2,Overstock,5.0,29.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,240.0,6.0,61.0,-196,14.0,0.3,Critical,55.0,4358.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,990.0,1.0,314.0,1326,1930.0,22.4,Overstock,86.0,571.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,RURAL,25.0,72.0,82.0,245,71.0,0.6,Critical,124.0,714.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,3935.0,1.0,792.0,455,5484.0,10.6,Overstock,516.0,229.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,813.0,0.0,104.0,-172,169.0,1.5,Low,112.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,1724.0,509.0,213.0,204,1357.0,10.4,Overstock,130.0,120.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,1959.0,1948.0,212.0,505,1356.0,7.3,Overstock,187.0,0.0
SP,SP,HEALTH CENTER,May,YES,RURAL,515.0,221.0,88.0,58,1520.0,30.4,Overstock,50.0,15.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,5.0,0.0,6.0,-82,163.0,163.0,Overstock,1.0,0.0
ART-SUP,ART,HOSPITAL,November,NO,RURAL,1659.0,82.0,944.0,-452,1310.0,2.5,Low,515.0,0.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,2645.0,8.0,167.0,-318,1378.0,12.4,Overstock,111.0,1.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,906.0,0.0,530.0,-500,205.0,0.5,Critical,395.0,858.0
SP,SP,HEALTH CENTER,November,NO,RURAL,405.0,410.0,152.0,890,1237.0,9.7,Overstock,127.0,21.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,421.0,12.0,234.0,449,518.0,1.2,Low,426.0,1869.0
ACT-AD,ACT,HEALTH CENTER,November,NO,URBAN,584.0,0.0,17.0,-131,518.0,172.7,Overstock,3.0,0.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,319.0,150.0,49.0,-105,645.0,33.9,Overstock,19.0,22.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,2794.0,0.0,412.0,-360,2968.0,14.7,Overstock,202.0,1.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,7665.0,0.0,1146.0,50,1297.0,2.2,Low,598.0,1042.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,URBAN,566.0,24.0,61.0,-158,503.0,13.2,Overstock,38.0,0.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,230.0,0.0,10.0,163,9.0,1.8,Low,5.0,0.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,1041.0,0.0,109.0,-655,947.0,9.1,Overstock,104.0,45.0
RDT,DIAG,HEALTH CENTER,May,YES,URBAN,612.0,43.0,148.0,-526,301.0,4.9,Adequate,62.0,91.0
ACT-SC,ACT,HEALTH CENTER,May,YES,RURAL,624.0,1.0,156.0,906,264.0,10.2,Overstock,26.0,0.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,1698.0,20.0,667.0,77,3627.0,6.0,Overstock,602.0,16.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,0.0,1.0,2.0,-738,3.0,0.4,Critical,7.0,17.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,1523.0,3.0,379.0,-15,2233.0,32.4,Overstock,69.0,14.0
SP,SP,HEALTH CENTER,May,YES,RURAL,263.0,0.0,36.0,492,1185.0,1185.0,Overstock,1.0,0.0
QUIN,SP,HEALTH CENTER,August,YES,URBAN,76.0,4.0,105.0,197,146.0,1.7,Low,88.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,10.0,109.0,27.0,209,845.0,13.0,Overstock,65.0,0.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,570.0,148.0,209.0,257,705.0,7.9,Overstock,89.0,119.0
QUIN,SP,HEALTH CENTER,May,YES,RURAL,4477.0,0.0,1391.0,-390,2317.0,2.3,Low,1008.0,1764.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,942.0,7.0,190.0,345,1102.0,13.0,Overstock,85.0,0.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,542.0,64.0,424.0,-8,1967.0,6.2,Overstock,317.0,151.0
ACT-INF,ACT,HEALTH CENTER,May,YES,RURAL,1626.0,138.0,156.0,293,1266.0,6.4,Overstock,198.0,82.0
ACT-AD,ACT,HEALTH CENTER,May,YES,URBAN,6284.0,1083.0,1316.0,197,8120.0,19.2,Overstock,424.0,0.0
ACT-INF,ACT,HEALTH CENTER,November,NO,URBAN,2629.0,5.0,566.0,-400,955.0,4.6,Adequate,209.0,556.0
ART-INJ,ART,HEALTH CENTER,August,YES,URBAN,291.0,96.0,83.0,-430,128.0,2.6,Low,50.0,6.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,605.0,108.0,238.0,7,888.0,3.0,Adequate,295.0,134.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,489.0,0.0,110.0,57,272.0,3.5,Adequate,77.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,URBAN,2782.0,0.0,581.0,-833,1779.0,7.4,Overstock,242.0,1672.0
ACT-GC,ACT,HEALTH CENTER,November,NO,URBAN,36.0,0.0,25.0,130,26.0,26.0,Overstock,1.0,6.0
SP,SP,HEALTH CENTER,February,NO,RURAL,2652.0,10.0,130.0,532,669.0,3.1,Adequate,213.0,1023.0
SP,SP,HEALTH CENTER,August,YES,RURAL,1882.0,20.0,444.0,384,2267.0,7.0,Overstock,323.0,4.0
ITN,PREV,HEALTH CENTER,November,NO,URBAN,1924.0,45.0,259.0,117,1132.0,12.3,Overstock,92.0,814.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,1907.0,142.0,416.0,-35,3182.0,12.7,Overstock,250.0,201.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,1097.0,0.0,187.0,-230,477.0,2.6,Low,181.0,547.0
ACT-INF,ACT,HEALTH CENTER,November,NO,RURAL,68.0,495.0,26.0,-448,195.0,13.9,Overstock,14.0,15.0
QUIN,SP,HEALTH CENTER,August,YES,URBAN,4244.0,0.0,224.0,-151,1691.0,27.7,Overstock,61.0,276.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,129.0,0.0,34.0,408,12.0,1.5,Low,8.0,963.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,632.0,0.0,271.0,431,1348.0,2.3,Low,580.0,4039.0
PYRA-COMP,PYRA,HOSPITAL,August,YES,URBAN,1051.0,51.0,659.0,-128,1582.0,3.1,Adequate,506.0,0.0
RDT,DIAG,HOSPITAL,November,NO,RURAL,1779.0,6.0,453.0,-280,989.0,2.0,Low,506.0,24.0
ART-SUP,ART,HEALTH CENTER,May,YES,URBAN,6.0,0.0,12.0,118,238.0,,Unknown,0.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,656.0,346.0,92.0,-150,1262.0,29.3,Overstock,43.0,238.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,552.0,0.0,158.0,-183,490.0,2.5,Low,195.0,12.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,1060.0,973.0,607.0,1018,1645.0,3.4,Adequate,486.0,631.0
ITN,PREV,HEALTH CENTER,November,NO,URBAN,3272.0,0.0,312.0,-547,1140.0,2.1,Low,538.0,112.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,52.0,3.0,1.0,-187,52.0,17.3,Overstock,3.0,0.0
ART-SUP,ART,HEALTH CENTER,November,NO,URBAN,189.0,4.0,29.0,-897,574.0,191.3,Overstock,3.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,RURAL,308.0,386.0,538.0,621,719.0,2.7,Low,267.0,6.0
QUIN,SP,HEALTH CENTER,February,NO,URBAN,1277.0,3.0,411.0,-109,617.0,1.8,Low,352.0,349.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,76.0,0.0,11.0,672,228.0,7.1,Overstock,32.0,13.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,1849.0,0.0,1004.0,-588,792.0,0.8,Critical,983.0,581.0
ACT-GC,ACT,HEALTH CENTER,May,YES,URBAN,3294.0,2.0,1020.0,562,1888.0,3.7,Adequate,511.0,1017.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,RURAL,1830.0,0.0,328.0,193,1291.0,32.3,Overstock,40.0,0.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,1558.0,694.0,567.0,-7,1667.0,3.2,Adequate,518.0,423.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,237.0,165.0,240.0,482,477.0,1.6,Low,290.0,2941.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,782.0,271.0,287.0,1073,1236.0,9.2,Overstock,134.0,1034.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,27.0,0.0,20.0,392,18.0,1.2,Low,15.0,1931.0
SP,SP,HEALTH CENTER,August,YES,URBAN,0.0,0.0,5.0,492,2.0,,Unknown,0.0,1.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,RURAL,560.0,0.0,80.0,-239,323.0,4.0,Adequate,81.0,1.0
ITN,PREV,HEALTH CENTER,November,NO,URBAN,2397.0,2583.0,1490.0,-134,5781.0,4.6,Adequate,1247.0,14.0
ART-INJ,ART,HOSPITAL,November,NO,URBAN,231.0,144.0,84.0,-86,722.0,17.6,Overstock,41.0,1479.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,119.0,1.0,122.0,448,348.0,4.8,Adequate,72.0,12.0
