product_primary_name,processing_periods_name,facility_type_name,beginning_balance,quantity_received,quantity_dispensed,stock_in_hand,quantity_requested,quantity_approved,total_losses_and_adjustments,amc,pack_size,zone,dispensing_unit,diff
PYRA-COMP,2024-02-01,REGIONAL HOSPITAL,214.0,0.0,73.0,197.0,,38.0,305,8.0,1,DISTRICT16,TABLET,38.0
ACT-GC,2025-05-01,HEALTH CENTER,5516.0,0.0,1092.0,5030.0,,633.0,-258,1028.0,30,DISTRICT14,BLISTER,633.0
ART-SUP,2025-05-01,HEALTH CENTER,1799.0,240.0,604.0,1299.0,,112.0,111,381.0,2,DISTRICT29,CAPSULE,112.0
ART-SUP,2025-11-01,HEALTH CENTER,305.0,660.0,515.0,818.0,,0.0,-68,114.0,2,DISTRICT38,CAPSULE,0.0
ITN,2024-02-01,HEALTH CENTER,326.0,1.0,199.0,441.0,,40.0,365,282.0,50,DISTRICT32,PIECE,40.0
PYRA-COMP,2025-11-01,HEALTH CENTER,64.0,195.0,91.0,281.0,,686.0,448,41.0,1,DISTRICT15,TABLET,686.0
ART-SUP,2025-02-01,HEALTH CENTER,437.0,146.0,88.0,1487.0,,285.0,-198,147.0,2,DISTRICT30,CAPSULE,285.0
RDT,2024-02-01,HEALTH CENTER,2690.0,1203.0,366.0,1440.0,1613.0,1.0,66,398.0,25,DISTRICT12,PIECE,-1612.0
QUIN,2025-11-01,HEALTH CENTER,314.0,187.0,271.0,261.0,,110.0,-350,256.0,1000,DISTRICT1,TABLET,110.0
ACT-AD,2024-05-01,HEALTH CENTER,2922.0,508.0,382.0,2731.0,,1.0,-518,319.0,30,DISTRICT31,BLISTER,1.0
ACT-INF,2024-02-01,HEALTH CENTER,3655.0,1.0,819.0,2793.0,,18.0,-76,1086.0,30,DISTRICT29,BLISTER,18.0
QUIN,2024-05-01,HEALTH CENTER,99.0,1.0,23.0,537.0,,0.0,728,1.0,1000,DISTRICT32,TABLET,0.0
ACT-GC,2025-02-01,HEALTH CENTER,2665.0,6.0,705.0,1800.0,,1440.0,212,569.0,30,DISTRICT25,BLISTER,1440.0
ACT-AD,2024-08-01,HEALTH CENTER,40.0,90.0,19.0,152.0,624.0,0.0,-91,1.0,30,DISTRICT30,BLISTER,-624.0
PYRA-COMP,2025-08-01,HEALTH CENTER,1402.0,26.0,545.0,1469.0,,1156.0,634,319.0,1,DISTRICT11,TABLET,1156.0
SP,2024-05-01,HEALTH CENTER,123.0,5.0,131.0,356.0,,5.0,-254,28.0,1000,DISTRICT20,TABLET,5.0
PYRA-COMP,2025-02-01,HEALTH CENTER,1705.0,2.0,281.0,2184.0,,0.0,-19,144.0,1,DISTRICT13,TABLET,0.0
SP,2025-02-01,HEALTH CENTER,137.0,2.0,317.0,1198.0,,2887.0,-91,173.0,1000,DISTRICT25,TABLET,2887.0
PYRA-SAC,2025-08-01,HEALTH CENTER,2153.0,2989.0,717.0,5404.0,1735.0,221.0,821,401.0,1,DISTRICT37,SACHET,-1514.0
RDT,2025-08-01,HEALTH CENTER,778.0,3.0,191.0,855.0,327.0,870.0,650,91.0,25,DISTRICT36,PIECE,543.0
QUIN,2025-02-01,HEALTH CENTER,2761.0,0.0,466.0,1361.0,,23.0,-293,126.0,1000,DISTRICT33,TABLET,23.0
ACT-SC,2025-02-01,HEALTH CENTER,566.0,57.0,117.0,1190.0,71.0,1.0,291,21.0,30,DISTRICT26,BLISTER,-70.0
ART-SUP,2024-11-01,HEALTH CENTER,224.0,179.0,134.0,400.0,106.0,0.0,148,77.0,2,DISTRICT30,CAPSULE,-106.0
PYRA-SAC,2025-02-01,HEALTH CENTER,1381.0,736.0,560.0,2233.0,,2.0,297,394.0,1,DISTRICT31,SACHET,2.0
ART-SUP,2025-11-01,HEALTH CENTER,1795.0,1.0,214.0,880.0,496.0,6.0,-795,55.0,2,DISTRICT6,CAPSULE,-490.0
SP,2024-02-01,DISTRICT HOSPITAL,1141.0,0.0,100.0,745.0,,0.0,123,84.0,1000,DISTRICT9,TABLET,0.0
PYRA-SAC,2024-11-01,HEALTH CENTER,2049.0,0.0,56.0,966.0,82.0,0.0,-108,35.0,1,DISTRICT38,SACHET,-82.0
ACT-AD,2025-11-01,HEALTH CENTER,1198.0,397.0,59.0,278.0,136.0,3.0,136,49.0,30,DISTRICT9,BLISTER,-133.0
ACT-GC,2025-05-01,HEALTH CENTER,351.0,416.0,48.0,1572.0,,0.0,266,148.0,30,DISTRICT15,BLISTER,0.0
RDT,2025-11-01,HEALTH CENTER,2078.0,3006.0,396.0,3197.0,,438.0,-678,673.0,25,DISTRICT21,PIECE,438.0
ART-INJ,2025-08-01,HEALTH CENTER,279.0,482.0,166.0,636.0,,1.0,-45,34.0,5,DISTRICT32,VIAL,1.0
ACT-GC,2025-02-01,DISTRICT HOSPITAL,1810.0,70.0,301.0,1588.0,293.0,742.0,914,110.0,30,DISTRICT29,BLISTER,449.0
SP,2024-05-01,HEALTH CENTER,561.0,795.0,123.0,982.0,,55.0,-413,72.0,1000,DISTRICT8,TABLET,55.0
ACT-SC,2025-05-01,HEALTH CENTER,2432.0,2810.0,515.0,2394.0,,9.0,233,391.0,30,DISTRICT23,BLISTER,9.0
PYRA-SAC,2025-05-01,HEALTH CENTER,617.0,406.0,328.0,1300.0,617.0,0.0,4,154.0,1,DISTRICT23,SACHET,-617.0
ITN,2024-08-01,HEALTH CENTER,896.0,4.0,251.0,1502.0,865.0,4527.0,107,147.0,50,DISTRICT31,PIECE,3662.0
ACT-INF,2025-11-01,HEALTH CENTER,117.0,12.0,93.0,412.0,857.0,54.0,756,51.0,30,DISTRICT29,BLISTER,-803.0
PYRA-SAC,2025-08-01,HEALTH CENTER,485.0,1.0,137.0,548.0,,4.0,123,90.0,1,DISTRICT9,SACHET,4.0
RDT,2025-11-01,HEALTH CENTER,792.0,0.0,173.0,632.0,,0.0,-900,557.0,25,DISTRICT14,PIECE,0.0
SP,2025-08-01,HEALTH CENTER,1225.0,0.0,90.0,436.0,,75.0,-919,22.0,1000,DISTRICT31,TABLET,75.0
PYRA-COMP,2025-08-01,HEALTH CENTER,40.0,1683.0,123.0,68.0,,1012.0,-593,138.0,1,DISTRICT28,TABLET,1012.0
ACT-AD,2024-02-01,HEALTH CENTER,600.0,4.0,70.0,396.0,580.0,223.0,72,91.0,30,DISTRICT32,BLISTER,-357.0
QUIN,2025-08-01,HEALTH CENTER,26.0,66.0,10.0,187.0,,0.0,18,1.0,1000,DISTRICT29,TABLET,0.0
RDT,2024-02-01,HEALTH CENTER,21.0,0.0,0.0,2.0,659.0,1.0,-698,0.0,25,DISTRICT20,PIECE,-658.0
ACT-GC,2025-08-01,HEALTH CENTER,1241.0,75.0,249.0,2364.0,,30.0,861,177.0,30,DISTRICT33,BLISTER,30.0
ACT-AD,2025-02-01,HEALTH CENTER,120.0,166.0,31.0,179.0,317.0,0.0,-15,20.0,30,DISTRICT23,BLISTER,-317.0
ART-SUP,2024-11-01,HEALTH CENTER,2547.0,127.0,661.0,1215.0,,6.0,-152,231.0,2,DISTRICT13,CAPSULE,6.0
PYRA-SAC,2024-11-01,HEALTH CENTER,750.0,557.0,976.0,761.0,1358.0,1.0,-302,507.0,1,DISTRICT32,SACHET,-1357.0
ACT-GC,2024-05-01,HEALTH CENTER,511.0,777.0,103.0,663.0,,18.0,-286,55.0,30,DISTRICT31,BLISTER,18.0
ITN,2024-11-01,HEALTH CENTER,684.0,1554.0,600.0,3402.0,,98.0,48,236.0,50,DISTRICT10,PIECE,98.0
ART-SUP,2025-08-01,HEALTH CENTER,4455.0,107.0,846.0,1681.0,1023.0,397.0,213,501.0,2,DISTRICT24,CAPSULE,-626.0
RDT,2025-08-01,HEALTH CENTER,1229.0,2.0,236.0,1910.0,,1.0,315,36.0,25,DISTRICT30,PIECE,1.0
ACT-INF,2024-05-01,HEALTH CENTER,245.0,178.0,168.0,952.0,,147.0,-803,149.0,30,DISTRICT8,BLISTER,147.0
SP,2024-05-01,REGIONAL HOSPITAL,738.0,4.0,219.0,272.0,,1802.0,-377,117.0,1000,DISTRICT1,TABLET,1802.0
QUIN,2025-11-01,HEALTH CENTER,2515.0,2.0,219.0,1705.0,,50.0,-189,92.0,1000,DISTRICT27,TABLET,50.0
RDT,2024-02-01,HEALTH CENTER,974.0,1.0,85.0,953.0,,6.0,329,24.0,25,DISTRICT7,PIECE,6.0
RDT,2025-11-01,HEALTH CENTER,1757.0,291.0,116.0,1854.0,575.0,30.0,549,26.0,25,DISTRICT17,PIECE,-545.0
PYRA-SAC,2025-08-01,DISTRICT HOSPITAL,1327.0,152.0,257.0,1579.0,,1.0,-615,310.0,1,DISTRICT22,SACHET,1.0
ACT-AD,2024-08-01,HEALTH CENTER,311.0,2.0,17.0,706.0,,1.0,-225,7.0,30,DISTRICT20,BLISTER,1.0
ART-INJ,2024-05-01,HEALTH CENTER,4.0,0.0,20.0,2.0,486.0,1349.0,222,7.0,5,DISTRICT38,VIAL,863.0
ART-SUP,2025-08-01,HEALTH CENTER,3320.0,8.0,544.0,2092.0,809.0,7789.0,186,765.0,2,DISTRICT1,CAPSULE,6980.0
RDT,2024-08-01,HEALTH CENTER,353.0,5.0,392.0,54.0,,3932.0,-498,404.0,25,DISTRICT9,PIECE,3932.0
ART-INJ,2025-11-01,HEALTH CENTER,126.0,0.0,48.0,71.0,,6.0,175,5.0,5,DISTRICT22,VIAL,6.0
ACT-GC,2025-11-01,HEALTH CENTER,229.0,0.0,69.0,59.0,1003.0,1230.0,383,9.0,30,DISTRICT14,BLISTER,227.0
ART-SUP,2025-08-01,HEALTH CENTER,1094.0,4.0,327.0,354.0,613.0,0.0,480,143.0,2,DISTRICT9,CAPSULE,-613.0
ACT-AD,2025-08-01,HEALTH CENTER,785.0,4566.0,609.0,834.0,2011.0,621.0,284,475.0,30,DISTRICT11,BLISTER,-1390.0
SP,2025-11-01,HEALTH CENTER,6.0,41.0,6.0,70.0,,19.0,84,1.0,1000,DISTRICT22,TABLET,19.0
ART-SUP,2024-11-01,HEALTH CENTER,1999.0,12.0,240.0,1690.0,,422.0,-20,14.0,2,DISTRICT33,CAPSULE,422.0
PYRA-SAC,2024-05-01,HEALTH CENTER,1072.0,356.0,172.0,2520.0,678.0,0.0,-460,149.0,1,DISTRICT32,SACHET,-678.0
ACT-SC,2024-11-01,HEALTH CENTER,2844.0,962.0,1067.0,2424.0,,8774.0,214,1331.0,30,DISTRICT29,BLISTER,8774.0
QUIN,2024-11-01,REGIONAL HOSPITAL,1255.0,0.0,292.0,815.0,,6.0,-8,368.0,1000,DISTRICT29,TABLET,6.0
PYRA-COMP,2025-05-01,HEALTH CENTER,1379.0,48.0,41.0,831.0,767.0,0.0,186,33.0,1,DISTRICT7,TABLET,-767.0
ACT-AD,2025-02-01,HEALTH CENTER,1737.0,4.0,65.0,1028.0,,65.0,194,59.0,30,DISTRICT31,BLISTER,65.0
SP,2025-02-01,HEALTH CENTER,952.0,54.0,141.0,1237.0,,0.0,-102,150.0,1000,DISTRICT20,TABLET,0.0
ACT-AD,2025-11-01,HEALTH CENTER,386.0,0.0,27.0,44.0,516.0,1.0,-260,24.0,30,DISTRICT32,BLISTER,-515.0
ACT-INF,2024-11-01,HEALTH CENTER,939.0,98.0,52.0,611.0,,606.0,-84,50.0,30,DISTRICT25,BLISTER,606.0
ACT-AD,2025-05-01,HEALTH CENTER,198.0,28.0,99.0,632.0,,1835.0,340,30.0,30,DISTRICT29,BLISTER,1835.0
ACT-GC,2024-05-01,HEALTH CENTER,3051.0,611.0,694.0,3402.0,,2083.0,-987,366.0,30,DISTRICT8,BLISTER,2083.0
ACT-GC,2025-05-01,HEALTH CENTER,2912.0,324.0,1743.0,3857.0,1009.0,4.0,225,1263.0,30,DISTRICT31,BLISTER,-1005.0
ART-SUP,2025-11-01,HEALTH CENTER,107.0,0.0,175.0,650.0,,11.0,-213,24.0,2,DISTRICT14,CAPSULE,11.0
ART-SUP,2024-11-01,HEALTH CENTER,327.0,204.0,85.0,574.0,,8.0,-647,106.0,2,DISTRICT32,CAPSULE,8.0
ART-SUP,2025-11-01,HEALTH CENTER,225.0,75.0,84.0,112.0,,87.0,272,69.0,2,DISTRICT9,CAPSULE,87.0
PYRA-SAC,2025-08-01,HEALTH CENTER,360.0,623.0,206.0,313.0,,1459.0,-481,86.0,1,DISTRICT31,SACHET,1459.0
RDT,2025-02-01,HEALTH CENTER,716.0,427.0,214.0,1923.0,,2.0,-308,244.0,25,DISTRICT11,PIECE,2.0
ART-SUP,2025-11-01,HEALTH CENTER,294.0,422.0,290.0,717.0,1370.0,4481.0,-300,583.0,2,DISTRICT30,CAPSULE,3111.0
ART-INJ,2024-05-01,REGIONAL HOSPITAL,4176.0,11.0,256.0,633.0,,1589.0,-544,123.0,5,DISTRICT10,VIAL,1589.0
PYRA-SAC,2025-08-01,NATIONAL HOSPITAL,735.0,87.0,221.0,1442.0,,351.0,267,211.0,1,DISTRICT6,SACHET,351.0
ACT-INF,2024-02-01,HEALTH CENTER,185.0,0.0,143.0,21.0,,0.0,1334,5.0,30,DISTRICT10,BLISTER,0.0
ACT-AD,2025-11-01,HEALTH CENTER,56.0,2322.0,37.0,422.0,,1664.0,-85,112.0,30,DISTRICT5,BLISTER,1664.0
ACT-INF,2024-05-01,HEALTH CENTER,820.0,0.0,88.0,689.0,,180.0,-386,216.0,30,DISTRICT14,BLISTER,180.0
ACT-SC,2025-11-01,HEALTH CENTER,23.0,167.0,117.0,5.0,,15.0,127,10.0,30,DISTRICT35,BLISTER,15.0
PYRA-COMP,2024-02-01,HEALTH CENTER,1462.0,366.0,262.0,3125.0,,23.0,517,148.0,1,DISTRICT30,TABLET,23.0
ART-SUP,2025-08-01,HEALTH CENTER,21.0,1.0,3.0,13.0,,3.0,-149,15.0,2,DISTRICT13,CAPSULE,3.0
ART-SUP,2025-11-01,HEALTH CENTER,1112.0,54.0,305.0,439.0,,108.0,-331,196.0,2,DISTRICT36,CAPSULE,108.0
PYRA-SAC,2025-08-01,HEALTH CENTER,3188.0,10.0,98.0,511.0,1882.0,72.0,-447,171.0,1,DISTRICT24,SACHET,-1810.0
PYRA-SAC,2024-08-01,HEALTH CENTER,3522.0,1969.0,871.0,9236.0,630.0,13.0,712,984.0,1,DISTRICT1,SACHET,-617.0
PYRA-COMP,2024-08-01,HEALTH CENTER,1269.0,48.0,345.0,1913.0,,239.0,-756,622.0,1,DISTRICT29,TABLET,239.0
ACT-INF,2024-02-01,HEALTH CENTER,535.0,1603.0,254.0,2095.0,,2.0,-722,321.0,30,DISTRICT12,BLISTER,2.0
ACT-GC,2024-05-01,HEALTH CENTER,153.0,1626.0,389.0,2060.0,,286.0,446,340.0,30,DISTRICT28,BLISTER,286.0
ART-INJ,2024-05-01,HEALTH CENTER,3265.0,1039.0,1537.0,7502.0,,395.0,-457,1094.0,5,DISTRICT20,VIAL,395.0
ART-SUP,2025-02-01,REGIONAL HOSPITAL,433.0,31.0,89.0,276.0,,264.0,69,72.0,2,DISTRICT21,CAPSULE,264.0
ACT-AD,2025-05-01,HEALTH CENTER,518.0,92.0,136.0,258.0,,62.0,643,144.0,30,DISTRICT35,BLISTER,62.0
PYRA-SAC,2024-08-01,DISTRICT HOSPITAL,1276.0,1.0,10.0,1388.0,,0.0,-256,66.0,1,DISTRICT27,SACHET,0.0
RDT,2025-11-01,HEALTH CENTER,412.0,0.0,266.0,33.0,355.0,3.0,-604,173.0,25,DISTRICT29,PIECE,-352.0
ART-INJ,2024-11-01,HEALTH CENTER,209.0,1.0,333.0,228.0,,15.0,-334,320.0,5,DISTRICT19,VIAL,15.0
PYRA-COMP,2024-08-01,HEALTH CENTER,734.0,3.0,117.0,136.0,,24.0,-8,285.0,1,DISTRICT30,TABLET,24.0
ART-SUP,2024-02-01,HEALTH CENTER,1967.0,108.0,708.0,1824.0,,55.0,214,481.0,2,DISTRICT2,CAPSULE,55.0
QUIN,2025-05-01,DISTRICT HOSPITAL,206.0,2.0,28.0,193.0,819.0,5.0,296,23.0,1000,DISTRICT26,TABLET,-814.0
ACT-INF,2025-02-01,HEALTH CENTER,1879.0,1.0,335.0,1358.0,,856.0,555,180.0,30,DISTRICT22,BLISTER,856.0
ACT-INF,2024-02-01,HEALTH CENTER,2459.0,38.0,253.0,1866.0,,8.0,-784,275.0,30,DISTRICT33,BLISTER,8.0
QUIN,2025-02-01,HEALTH CENTER,2188.0,0.0,325.0,3171.0,853.0,8.0,-10,161.0,1000,DISTRICT36,TABLET,-845.0
ACT-SC,2024-05-01,HEALTH CENTER,5056.0,2814.0,367.0,760.0,,32.0,-1303,247.0,30,DISTRICT25,BLISTER,32.0
RDT,2025-08-01,HEALTH CENTER,108.0,11.0,29.0,329.0,58.0,0.0,230,7.0,25,DISTRICT30,PIECE,-58.0
ART-INJ,2024-02-01,HEALTH CENTER,602.0,1328.0,392.0,1255.0,264.0,3080.0,150,284.0,5,DISTRICT28,VIAL,2816.0
ART-INJ,2025-11-01,HEALTH CENTER,3220.0,1384.0,1133.0,7573.0,2227.0,2102.0,4,1195.0,5,DISTRICT36,VIAL,-125.0
PYRA-COMP,2025-05-01,HEALTH CENTER,136.0,13.0,2.0,228.0,,143.0,231,0.0,1,DISTRICT32,TABLET,143.0
ART-SUP,2024-11-01,HEALTH CENTER,208.0,0.0,1.0,153.0,,7.0,402,0.0,2,DISTRICT32,CAPSULE,7.0
PYRA-COMP,2025-08-01,HEALTH CENTER,87.0,29.0,155.0,70.0,,53.0,-586,146.0,1,DISTRICT10,TABLET,53.0
ACT-AD,2025-05-01,HEALTH CENTER,76.0,442.0,74.0,249.0,499.0,709.0,-239,14.0,30,DISTRICT33,BLISTER,210.0
ART-SUP,2024-11-01,HEALTH CENTER,999.0,14.0,318.0,997.0,,6178.0,-70,388.0,2,DISTRICT7,CAPSULE,6178.0
RDT,2025-11-01,HEALTH CENTER,275.0,17.0,141.0,403.0,,8.0,-526,96.0,25,DISTRICT9,PIECE,8.0
PYRA-SAC,2024-08-01,HEALTH CENTER,26.0,21.0,7.0,14.0,476.0,43.0,-1116,2.0,1,DISTRICT31,SACHET,-433.0
QUIN,2025-08-01,HEALTH CENTER,50.0,2.0,190.0,24.0,,206.0,99,216.0,1000,DISTRICT38,TABLET,206.0
ACT-AD,2024-11-01,HEALTH CENTER,3371.0,401.0,123.0,1240.0,,251.0,-1007,167.0,30,DISTRICT30,BLISTER,251.0
SP,2025-05-01,HEALTH CENTER,3914.0,0.0,324.0,1324.0,345.0,0.0,-833,122.0,1000,DISTRICT33,TABLET,-345.0
ART-INJ,2025-11-01,HEALTH CENTER,1483.0,4.0,125.0,499.0,211.0,9.0,-143,187.0,5,DISTRICT8,VIAL,-202.0
ACT-GC,2024-11-01,HEALTH CENTER,1036.0,5.0,95.0,427.0,,0.0,136,41.0,30,DISTRICT15,BLISTER,0.0
RDT,2024-08-01,REGIONAL HOSPITAL,392.0,0.0,44.0,410.0,,0.0,-657,2.0,25,DISTRICT16,PIECE,0.0
ACT-AD,2024-08-01,HEALTH CENTER,83.0,124.0,98.0,457.0,,1068.0,-9,143.0,30,DISTRICT16,BLISTER,1068.0
SP,2025-11-01,HEALTH CENTER,119.0,16.0,13.0,457.0,,0.0,-161,2.0,1000,DISTRICT13,TABLET,0.0
ACT-INF,2025-02-01,HEALTH CENTER,4573.0,490.0,2089.0,3047.0,,3314.0,164,2610.0,30,DISTRICT35,BLISTER,3314.0
PYRA-COMP,2024-11-01,HEALTH CENTER,1838.0,0.0,209.0,1367.0,680.0,3.0,10,16.0,1,DISTRICT13,TABLET,-677.0
QUIN,2024-08-01,HEALTH CENTER,782.0,15.0,584.0,1891.0,486.0,158.0,-200,717.0,1000,DISTRICT15,TABLET,-328.0
ART-INJ,2024-11-01,HEALTH CENTER,1222.0,83.0,510.0,637.0,,74.0,388,187.0,5,DISTRICT17,VIAL,74.0
ACT-GC,2024-08-01,HEALTH CENTER,226.0,0.0,68.0,1099.0,,2.0,-420,40.0,30,DISTRICT31,BLISTER,2.0
ACT-AD,2025-11-01,DISTRICT HOSPITAL,3642.0,96.0,123.0,1670.0,,0.0,439,70.0,30,DISTRICT19,BLISTER,0.0
ITN,2025-02-01,HEALTH CENTER,2999.0,1.0,1112.0,1899.0,,7725.0,-391,965.0,50,DISTRICT3,PIECE,7725.0
ACT-GC,2024-11-01,HEALTH CENTER,9.0,338.0,35.0,56.0,,108.0,-83,43.0,30,DISTRICT9,BLISTER,108.0
QUIN,2024-11-01,HEALTH CENTER,782.0,0.0,451.0,992.0,,1115.0,484,728.0,1000,DISTRICT16,TABLET,1115.0
ACT-SC,2025-08-01,HEALTH CENTER,34.0,2.0,30.0,43.0,1837.0,2096.0,-308,5.0,30,DISTRICT13,BLISTER,259.0
QUIN,2025-08-01,HEALTH CENTER,1081.0,0.0,773.0,1109.0,565.0,588.0,223,749.0,1000,DISTRICT26,TABLET,23.0
ITN,2024-08-01,HEALTH CENTER,40.0,1.0,22.0,6.0,,0.0,-57,54.0,50,DISTRICT19,PIECE,0.0
PYRA-SAC,2025-02-01,HEALTH CENTER,302.0,4.0,37.0,192.0,394.0,4451.0,-510,40.0,1,DISTRICT19,SACHET,4057.0
ACT-AD,2025-08-01,HEALTH CENTER,2.0,34.0,2.0,1.0,948.0,0.0,-92,0.0,30,DISTRICT21,BLISTER,-948.0
ACT-INF,2025-02-01,HEALTH CENTER,1105.0,97.0,711.0,1672.0,,2483.0,728,441.0,30,DISTRICT29,BLISTER,2483.0
ITN,2024-02-01,HEALTH CENTER,223.0,131.0,321.0,394.0,187.0,0.0,619,215.0,50,DISTRICT38,PIECE,-187.0
PYRA-SAC,2025-08-01,HEALTH CENTER,2.0,1.0,0.0,35.0,238.0,0.0,482,0.0,1,DISTRICT3,SACHET,-238.0
PYRA-COMP,2025-11-01,HEALTH CENTER,1076.0,205.0,372.0,1751.0,,4221.0,-69,322.0,1,DISTRICT32,TABLET,4221.0
PYRA-SAC,2025-05-01,HEALTH CENTER,3476.0,59.0,1616.0,2330.0,,219.0,800,1092.0,1,DISTRICT20,SACHET,219.0
ACT-SC,2024-02-01,HEALTH CENTER,87.0,0.0,5.0,481.0,,66.0,-66,2.0,30,DISTRICT32,BLISTER,66.0
ACT-SC,2024-08-01,HEALTH CENTER,195.0,0.0,26.0,897.0,49.0,0.0,493,12.0,30,DISTRICT32,BLISTER,-49.0
ACT-AD,2024-02-01,REGIONAL HOSPITAL,363.0,74.0,116.0,209.0,507.0,93.0,813,20.0,30,DISTRICT10,BLISTER,-414.0
QUIN,2025-05-01,HEALTH CENTER,2852.0,88.0,183.0,2037.0,1287.0,593.0,347,391.0,1000,DISTRICT29,TABLET,-694.0
QUIN,2025-02-01,HEALTH CENTER,929.0,672.0,436.0,1543.0,,68.0,-436,331.0,1000,DISTRICT29,TABLET,68.0
ACT-GC,2025-02-01,HEALTH CENTER,131.0,0.0,58.0,63.0,,1547.0,-358,79.0,30,DISTRICT31,BLISTER,1547.0
ACT-SC,2024-05-01,HEALTH CENTER,1008.0,263.0,580.0,918.0,1464.0,7762.0,455,708.0,30,DISTRICT32,BLISTER,6298.0
QUIN,2025-02-01,HEALTH CENTER,1969.0,5.0,727.0,588.0,1131.0,620.0,-446,476.0,1000,DISTRICT18,TABLET,-511.0
ACT-INF,2024-02-01,HEALTH CENTER,1136.0,139.0,394.0,2198.0,,18.0,875,132.0,30,DISTRICT17,BLISTER,18.0
PYRA-COMP,2025-11-01,HEALTH CENTER,1515.0,45.0,650.0,1490.0,,282.0,-593,627.0,1,DISTRICT30,TABLET,282.0
ACT-SC,2025-11-01,HEALTH CENTER,902.0,1.0,203.0,362.0,,1259.0,181,67.0,30,DISTRICT31,BLISTER,1259.0
SP,2024-08-01,HEALTH CENTER,1619.0,2.0,981.0,2273.0,,11.0,-361,639.0,1000,DISTRICT32,TABLET,11.0
ACT-INF,2025-08-01,HEALTH CENTER,939.0,35.0,468.0,1282.0,,1668.0,421,371.0,30,DISTRICT4,BLISTER,1668.0
ACT-INF,2025-02-01,HEALTH CENTER,682.0,110.0,194.0,1114.0,,2.0,8,147.0,30,DISTRICT9,BLISTER,2.0
ITN,2024-08-01,HEALTH CENTER,162.0,1.0,8.0,67.0,,13.0,-60,0.0,50,DISTRICT30,PIECE,13.0
ACT-GC,2025-02-01,HEALTH CENTER,543.0,266.0,415.0,1067.0,,656.0,-3,125.0,30,DISTRICT21,BLISTER,656.0
RDT,2025-11-01,HEALTH CENTER,592.0,0.0,430.0,793.0,,6.0,73,356.0,25,DISTRICT5,PIECE,6.0
ACT-AD,2024-05-01,DISTRICT HOSPITAL,1400.0,0.0,262.0,728.0,391.0,1.0,330,336.0,30,DISTRICT19,BLISTER,-390.0
PYRA-COMP,2024-11-01,HEALTH CENTER,211.0,0.0,270.0,87.0,,838.0,-746,177.0,1,DISTRICT33,TABLET,838.0
SP,2025-08-01,HEALTH CENTER,298.0,0.0,383.0,578.0,,7.0,625,251.0,1000,DISTRICT25,TABLET,7.0
ITN,2025-02-01,HEALTH CENTER,45.0,0.0,154.0,16.0,1331.0,10777.0,104,68.0,50,DISTRICT16,PIECE,9446.0
PYRA-COMP,2024-08-01,HEALTH CENTER,3316.0,45.0,1159.0,1654.0,,336.0,-579,866.0,1,DISTRICT31,TABLET,336.0
ITN,2025-11-01,HEALTH CENTER,9783.0,21.0,2298.0,7130.0,,9661.0,-255,2709.0,50,DISTRICT25,PIECE,9661.0
SP,2024-11-01,HEALTH CENTER,3982.0,100.0,561.0,3031.0,,2.0,290,472.0,1000,DISTRICT23,TABLET,2.0
RDT,2024-08-01,HEALTH CENTER,66.0,0.0,6.0,6.0,1203.0,3.0,152,1.0,25,DISTRICT32,PIECE,-1200.0
RDT,2025-08-01,HEALTH CENTER,5321.0,447.0,509.0,4388.0,,2.0,-317,585.0,25,DISTRICT8,PIECE,2.0
SP,2024-05-01,DISTRICT HOSPITAL,0.0,0.0,1.0,4.0,,41.0,322,2.0,1000,DISTRICT25,TABLET,41.0
PYRA-SAC,2025-11-01,HEALTH CENTER,552.0,0.0,68.0,446.0,,137.0,-573,312.0,1,DISTRICT31,SACHET,137.0
QUIN,2025-08-01,HEALTH CENTER,338.0,303.0,185.0,840.0,,0.0,-400,145.0,1000,DISTRICT9,TABLET,0.0
QUIN,2024-02-01,HEALTH CENTER,223.0,0.0,37.0,54.0,,588.0,43,12.0,1000,DISTRICT26,TABLET,588.0
ART-SUP,2024-11-01,DISTRICT HOSPITAL,1345.0,43.0,973.0,943.0,,4215.0,-69,745.0,2,DISTRICT30,CAPSULE,4215.0
SP,2024-11-01,HEALTH CENTER,1185.0,30.0,226.0,626.0,,456.0,216,345.0,1000,DISTRICT10,TABLET,456.0
ART-INJ,2024-08-01,HEALTH CENTER,15.0,143.0,0.0,10.0,,0.0,217,0.0,5,DISTRICT3,VIAL,0.0
QUIN,2024-05-01,HEALTH CENTER,1316.0,1.0,236.0,1438.0,,8.0,311,348.0,1000,DISTRICT33,TABLET,8.0
ART-INJ,2025-02-01,HEALTH CENTER,316.0,0.0,85.0,108.0,102.0,416.0,-493,115.0,5,DISTRICT35,VIAL,314.0
QUIN,2024-11-01,DISTRICT HOSPITAL,494.0,197.0,253.0,321.0,629.0,640.0,-133,510.0,1000,DISTRICT5,TABLET,11.0
ACT-SC,2025-02-01,HEALTH CENTER,467.0,70.0,131.0,165.0,,0.0,548,53.0,30,DISTRICT31,BLISTER,0.0
ACT-GC,2024-05-01,HEALTH CENTER,75.0,0.0,37.0,352.0,,59.0,5,2.0,30,DISTRICT28,BLISTER,59.0
ACT-GC,2025-11-01,HEALTH CENTER,130.0,1.0,22.0,240.0,,2.0,295,52.0,30,DISTRICT33,BLISTER,2.0
