,beginning_balance,quantity_received,quantity_dispensed,total_losses_and_adjustments,stock_in_hand,months_of_stock,amc,product_group_ART,product_group_DIAG,product_group_PREV,product_group_PYRA,product_group_SP,facility_type_HOSPITAL,reporting_month_February,reporting_month_May,reporting_month_November,zone_type_URBAN,High_Transmission_Preparation_YES,stock_status_Critical,stock_status_Low,stock_status_Overstock,stock_status_Stockout
955,988.0,4.0,479.0,166,820.0,6.0,136.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
7956,2114.0,22.0,382.0,-876,4278.0,15.8,271.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1758,1614.0,0.0,85.0,787,709.0,33.8,21.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
8084,344.0,97.0,45.0,-125,822.0,45.7,18.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
4350,520.0,513.0,238.0,-785,1326.0,4.5,292.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7450,280.0,0.0,206.0,384,284.0,1.4,199.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5658,899.0,0.0,5.0,288,224.0,74.7,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
6043,441.0,0.0,153.0,186,238.0,1.7,143.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
7016,274.0,20.0,17.0,241,284.0,35.5,8.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
4659,1989.0,1.0,338.0,-244,915.0,2.0,463.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
7004,494.0,856.0,62.0,-691,274.0,91.3,3.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
2702,447.0,19.0,246.0,444,495.0,3.5,141.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6040,109.0,25.0,62.0,-213,81.0,6.8,12.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
553,603.0,28.0,49.0,-148,815.0,62.7,13.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
6574,2895.0,53.0,355.0,-254,3868.0,19.0,204.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7207,226.0,0.0,374.0,426,295.0,1.1,264.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8115,388.0,772.0,480.0,-489,1539.0,1.5,1037.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
4076,75.0,0.0,25.0,252,34.0,0.7,52.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7867,301.0,0.0,30.0,290,451.0,17.3,26.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
6272,391.0,1742.0,209.0,-233,1025.0,31.1,33.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
7282,3558.0,1457.0,687.0,424,6271.0,13.4,469.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
445,480.0,32.0,59.0,-396,167.0,33.4,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4375,538.0,112.0,56.0,384,107.0,7.6,14.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
8423,496.0,684.0,568.0,623,1854.0,2.9,632.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
8019,454.0,73.0,444.0,48,712.0,2.0,365.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
5626,102.0,13.0,18.0,-135,101.0,101.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1372,66.0,0.0,6.0,152,6.0,6.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2434,556.0,9.0,399.0,-257,193.0,0.8,252.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
1889,497.0,1.0,100.0,-11,183.0,3.2,57.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
7007,1023.0,76.0,194.0,-437,1695.0,22.0,77.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
2873,1135.0,528.0,115.0,-478,1473.0,10.5,140.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7675,727.0,680.0,565.0,-183,790.0,3.7,212.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5382,1238.0,0.0,135.0,-126,1497.0,9.5,158.0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
4202,6654.0,1157.0,2055.0,193,8391.0,5.0,1683.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6783,1114.0,16.0,220.0,-261,968.0,2.6,370.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7048,319.0,11.0,30.0,316,398.0,14.2,28.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2829,2942.0,284.0,159.0,-552,1870.0,53.4,35.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
6849,549.0,71.0,203.0,-322,1195.0,17.3,69.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2422,773.0,0.0,158.0,-136,92.0,1.2,80.0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
8491,1447.0,0.0,134.0,252,479.0,3.6,132.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7186,282.0,0.0,11.0,-812,142.0,142.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1183,4.0,0.0,10.0,141,64.0,10.7,6.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
8266,2082.0,612.0,270.0,-1014,2230.0,6.6,340.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
5492,506.0,0.0,352.0,-1148,44.0,0.4,112.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
3526,49.0,0.0,5.0,-834,47.0,7.8,6.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
3607,2162.0,0.0,912.0,-169,2743.0,2.3,1168.0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
7468,846.0,13.0,136.0,976,1732.0,25.1,69.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5286,609.0,34.0,184.0,-63,302.0,3.9,77.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2904,258.0,1.0,278.0,-343,130.0,1.1,119.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3918,1492.0,638.0,487.0,297,1970.0,14.5,136.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5508,2574.0,1642.0,672.0,-39,4034.0,8.9,452.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2336,148.0,238.0,17.0,-28,28.0,2.5,11.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
3483,1331.0,19.0,325.0,-200,1492.0,9.6,156.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3323,1092.0,128.0,767.0,-1010,1824.0,3.7,497.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6358,385.0,1.0,182.0,-611,345.0,4.2,82.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2366,47.0,0.0,2.0,-190,96.0,19.2,5.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
3513,1176.0,0.0,41.0,-221,125.0,5.2,24.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
5816,2258.0,1.0,265.0,-74,2792.0,26.6,105.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
2000,2007.0,401.0,709.0,-246,2025.0,3.9,525.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
3420,218.0,0.0,49.0,-155,599.0,18.7,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3369,118.0,0.0,12.0,314,75.0,5.4,14.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
7896,1932.0,1.0,887.0,-501,4312.0,4.8,898.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1547,43.0,26.0,40.0,69,181.0,1.9,93.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1306,206.0,2.0,28.0,296,193.0,8.4,23.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
3054,2392.0,1161.0,287.0,-256,3001.0,13.2,227.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5622,1105.0,281.0,345.0,-33,1182.0,6.6,178.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
769,230.0,7.0,37.0,554,138.0,19.7,7.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
7969,6217.0,74.0,1132.0,140,2857.0,2.5,1124.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
3759,4402.0,1.0,810.0,-334,3262.0,8.0,409.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2032,816.0,51.0,131.0,-447,204.0,1.3,156.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
116,437.0,206.0,651.0,55,1067.0,2.3,464.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
8346,4582.0,32.0,580.0,65,3131.0,17.8,176.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4705,1545.0,18.0,160.0,855,1030.0,6.0,172.0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0
2200,2398.0,104.0,727.0,418,3590.0,11.3,318.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7297,2428.0,1128.0,161.0,-150,1728.0,13.4,129.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
7123,644.0,0.0,17.0,-261,103.0,9.4,11.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
3104,2356.0,132.0,407.0,557,1593.0,12.8,124.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
8239,754.0,1890.0,335.0,896,3686.0,53.4,69.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7653,891.0,438.0,522.0,-546,312.0,2.6,122.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
360,169.0,265.0,102.0,-428,620.0,5.8,107.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
5270,110.0,29.0,136.0,72,60.0,0.6,99.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1130,1677.0,52.0,370.0,-200,3570.0,10.9,329.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7533,129.0,2.0,6.0,447,9.0,0.6,15.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
4762,219.0,284.0,77.0,-113,876.0,67.4,13.0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
4607,1822.0,1.0,275.0,-654,2141.0,10.1,211.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2012,2217.0,81.0,134.0,488,507.0,14.5,35.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5078,2168.0,379.0,309.0,545,2960.0,15.3,193.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8435,1535.0,2233.0,889.0,640,3576.0,1.9,1889.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
6665,2992.0,309.0,688.0,-538,3133.0,5.4,581.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5252,842.0,16.0,504.0,-488,747.0,2.0,383.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7736,752.0,52.0,123.0,-363,1401.0,11.1,126.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,89.0,1.0,57.0,209,65.0,3.2,20.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1045,324.0,0.0,195.0,-846,140.0,0.4,344.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
6892,1718.0,1.0,243.0,-23,2033.0,101.6,20.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
641,47.0,63.0,15.0,-422,508.0,169.3,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6647,385.0,4.0,116.0,-119,444.0,2.2,203.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4698,392.0,1.0,68.0,-112,390.0,14.4,27.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
69,1307.0,12.0,662.0,-614,1016.0,2.2,452.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
6696,947.0,82.0,666.0,895,745.0,1.1,677.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
6809,308.0,0.0,351.0,528,66.0,0.2,384.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1880,82.0,2.0,5.0,-8,39.0,39.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1694,37.0,414.0,203.0,389,708.0,7.4,96.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
5215,1193.0,447.0,79.0,-678,207.0,29.6,7.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
8229,218.0,477.0,64.0,398,476.0,3.9,121.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
3335,1473.0,0.0,45.0,-213,430.0,86.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2353,479.0,0.0,42.0,86,38.0,0.3,148.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
4470,130.0,0.0,18.0,176,112.0,4.3,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7806,1513.0,11.0,168.0,-57,686.0,6.3,109.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
8376,1921.0,529.0,491.0,445,1776.0,9.7,183.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
4811,278.0,55.0,255.0,-614,496.0,3.5,143.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3201,107.0,11.0,61.0,469,716.0,37.7,19.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4285,20.0,0.0,1.0,-312,2.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
8509,82.0,230.0,16.0,-454,7.0,2.3,3.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
925,2600.0,17.0,985.0,152,2306.0,8.6,268.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1632,11.0,0.0,1.0,-32,2.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3746,830.0,9.0,143.0,74,247.0,1.0,247.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1131,87.0,1765.0,150.0,-291,76.0,2.1,37.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
3148,886.0,528.0,106.0,147,495.0,5.8,86.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1524,178.0,7.0,194.0,-471,643.0,3.6,177.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6629,440.0,15.0,8.0,-408,439.0,219.5,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
417,53.0,433.0,159.0,231,1163.0,35.2,33.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5665,3556.0,1.0,166.0,1056,2559.0,142.2,18.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1301,1276.0,1.0,10.0,-256,1388.0,21.0,66.0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
4748,222.0,0.0,100.0,347,361.0,3.6,100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
752,796.0,1.0,179.0,394,112.0,1.6,72.0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
1423,2657.0,67.0,500.0,836,960.0,1.4,674.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2574,311.0,0.0,160.0,-230,193.0,1.3,153.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7127,1358.0,66.0,55.0,-560,1124.0,23.4,48.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1599,141.0,919.0,78.0,-618,356.0,27.4,13.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
7079,2229.0,1.0,208.0,-149,1132.0,3.2,349.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1754,1840.0,127.0,274.0,-119,1216.0,4.6,267.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4075,2084.0,1120.0,1255.0,-120,989.0,2.0,484.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1208,2922.0,508.0,382.0,-518,2731.0,8.6,319.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
5609,112.0,7.0,72.0,397,97.0,2.6,37.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
3954,2152.0,3.0,673.0,-338,519.0,0.7,716.0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
1381,1316.0,1.0,236.0,311,1438.0,4.1,348.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
5325,232.0,126.0,154.0,33,482.0,2.4,203.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
5668,72.0,96.0,26.0,122,57.0,8.1,7.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
93,244.0,2397.0,63.0,-473,822.0,82.2,10.0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
3651,1473.0,164.0,724.0,-393,2842.0,10.3,277.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8006,177.0,1.0,81.0,27,237.0,21.5,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7921,779.0,4.0,388.0,-242,1935.0,5.9,329.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3338,605.0,354.0,51.0,52,231.0,3.4,68.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
4877,1770.0,66.0,35.0,-293,1345.0,39.6,34.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
7993,1289.0,0.0,643.0,678,771.0,1.4,562.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3555,223.0,2.0,93.0,300,638.0,9.8,65.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
7848,1141.0,0.0,220.0,-533,1140.0,9.7,117.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
7519,3256.0,100.0,391.0,-489,2899.0,7.2,400.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6701,69.0,1763.0,29.0,1335,727.0,45.4,16.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
229,7155.0,14.0,900.0,-840,2593.0,3.1,845.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6963,481.0,16.0,307.0,-283,562.0,5.5,103.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
204,8.0,10.0,4.0,944,85.0,14.2,6.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
3240,6109.0,4.0,1027.0,-148,5279.0,7.2,733.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1702,2440.0,606.0,716.0,413,2442.0,6.7,364.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2324,150.0,215.0,75.0,301,409.0,102.2,4.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
8209,884.0,0.0,172.0,467,1003.0,5.1,198.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7347,241.0,360.0,46.0,-369,118.0,10.7,11.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
4909,242.0,0.0,97.0,-225,22.0,0.2,140.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
7383,1114.0,76.0,359.0,-37,2244.0,9.8,228.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7505,3895.0,1.0,539.0,-802,1891.0,4.6,410.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2299,490.0,0.0,640.0,99,381.0,0.6,629.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3468,443.0,0.0,206.0,-169,451.0,2.4,190.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
7837,1647.0,863.0,919.0,283,4086.0,3.9,1043.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3488,164.0,23.0,81.0,338,406.0,3.6,112.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
3799,168.0,13.0,45.0,-189,1134.0,17.7,64.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
4507,44.0,0.0,1.0,-264,15.0,15.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
8653,1116.0,0.0,288.0,-73,298.0,0.9,315.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
3922,1227.0,62.0,463.0,486,3513.0,17.2,204.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
6586,2223.0,0.0,220.0,-894,303.0,13.8,22.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
5137,317.0,0.0,21.0,262,186.0,31.0,6.0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
5124,697.0,0.0,58.0,-743,1095.0,11.5,95.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
7371,1174.0,0.0,169.0,-210,1242.0,6.5,192.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5322,3373.0,81.0,155.0,-864,1616.0,16.2,100.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7683,347.0,11.0,10.0,-286,309.0,154.5,2.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
7434,344.0,0.0,225.0,51,104.0,1.4,73.0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
629,116.0,0.0,16.0,-9,201.0,201.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8253,435.0,0.0,367.0,589,249.0,0.5,470.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6738,578.0,283.0,20.0,-182,460.0,115.0,4.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
856,1706.0,0.0,136.0,-271,2162.0,16.8,129.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
6009,1356.0,0.0,418.0,72,831.0,1.8,471.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
5054,490.0,4.0,208.0,-137,1185.0,16.5,72.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
8389,160.0,0.0,5.0,71,33.0,16.5,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
421,3793.0,41.0,301.0,383,2093.0,4.8,437.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
430,442.0,162.0,51.0,702,381.0,16.6,23.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
4054,989.0,43.0,395.0,-348,1503.0,7.4,204.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4957,4200.0,0.0,244.0,146,458.0,0.8,560.0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
5345,2733.0,339.0,489.0,-122,1121.0,2.0,553.0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
8281,2708.0,56.0,211.0,-798,918.0,31.7,29.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
7952,2612.0,5.0,454.0,-296,956.0,2.2,442.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3992,207.0,1.0,76.0,185,165.0,2.5,67.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5193,215.0,1.0,187.0,123,414.0,7.5,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3668,2230.0,0.0,637.0,-26,3236.0,4.8,678.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
8592,638.0,1901.0,237.0,612,3061.0,4.8,632.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1950,117.0,0.0,13.0,-314,20.0,1.5,13.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8396,1182.0,6.0,145.0,178,2034.0,10.8,189.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
8477,48.0,13.0,13.0,320,10.0,0.5,22.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
68,1665.0,5.0,161.0,-123,840.0,12.0,70.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
8187,530.0,201.0,378.0,45,621.0,2.3,272.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2321,5749.0,2065.0,1049.0,449,4577.0,4.9,932.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
429,3394.0,0.0,710.0,1428,987.0,0.9,1046.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1374,0.0,0.0,1.0,322,4.0,2.0,2.0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0
5203,127.0,1.0,132.0,119,205.0,1.6,125.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2833,4798.0,2146.0,801.0,-730,6324.0,10.8,584.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
7032,2038.0,0.0,96.0,-271,1230.0,21.6,57.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7965,260.0,0.0,21.0,929,199.0,3.2,63.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4166,798.0,33.0,90.0,-222,342.0,85.5,4.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1396,908.0,212.0,108.0,-190,1480.0,12.0,123.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
251,1287.0,3.0,719.0,-1,2064.0,4.0,513.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3899,3433.0,0.0,493.0,508,1867.0,9.6,195.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
5951,1551.0,299.0,415.0,431,765.0,2.3,337.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3100,96.0,0.0,131.0,-218,1205.0,9.9,122.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
4691,623.0,0.0,166.0,-102,956.0,14.1,68.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
6069,942.0,0.0,282.0,-274,414.0,1.9,214.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
7376,435.0,433.0,80.0,42,594.0,7.1,84.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1865,347.0,15.0,125.0,261,360.0,22.5,16.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8610,396.0,108.0,106.0,100,87.0,1.5,57.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2091,0.0,1.0,3.0,631,2.0,2.0,1.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2222,235.0,18.0,283.0,126,1095.0,4.5,244.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3133,558.0,0.0,6.0,348,178.0,89.0,2.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
7015,2247.0,5.0,543.0,-859,608.0,1.4,435.0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
7754,795.0,34.0,107.0,-173,1193.0,74.6,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2715,1518.0,0.0,128.0,194,459.0,2.2,210.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
967,1613.0,1.0,366.0,-545,332.0,1.4,244.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
3533,4076.0,21.0,991.0,995,3130.0,3.4,931.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2108,159.0,1447.0,234.0,369,416.0,3.6,115.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6180,2882.0,0.0,284.0,59,1442.0,8.2,176.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
3896,1508.0,778.0,932.0,-45,1850.0,4.3,429.0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
8539,1694.0,61.0,434.0,-576,839.0,1.2,682.0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
