product_primary_name,processing_periods_name,facility_type_name,beginning_balance,quantity_received,quantity_dispensed,stock_in_hand,quantity_requested,quantity_approved,total_losses_and_adjustments,amc,pack_size,zone,dispensing_unit
ACT-AD,2025-06-01,HEALTH CENTER,1671.0,1036.0,1119.0,3454.0,744.0,0.0,-206,548.0,30,DISTRICT18,BLISTER
SP,2024-02-01,DISTRICT HOSPITAL,1639.0,913.0,181.0,2994.0,,321.0,-360,364.0,1000,DISTRICT29,TABLET
PYRA-COMP,2025-11-01,HEALTH CENTER,277.0,0.0,22.0,246.0,,10.0,-196,2.0,1,DISTRICT20,TABLET
ACT-INF,2024-08-01,HEALTH CENTER,954.0,723.0,264.0,1039.0,,2026.0,785,412.0,30,DISTRICT35,BLISTER
SP,2024-06-01,HEALTH CENTER,725.0,0.0,200.0,671.0,,270.0,-30,98.0,1000,DISTRICT13,TABLET
ITN,2024-03-01,HEALTH CENTER,2499.0,65.0,498.0,870.0,,,254,300.0,50,DISTRICT32,PIECE
SP,2025-01-01,HEALTH CENTER,3857.0,34.0,262.0,1519.0,,4.0,11,418.0,1000,DISTRICT24,TABLET
SP,2025-01-01,HEALTH CENTER,1485.0,6.0,458.0,1354.0,,,450,356.0,1000,DISTRICT15,TABLET
PYRA-COMP,2024-09-01,HEALTH CENTER,4410.0,0.0,952.0,2386.0,1052.0,1733.0,226,522.0,1,DISTRICT25,TABLET
RDT,2024-02-01,HEALTH CENTER,943.0,1577.0,724.0,1974.0,,,1219,798.0,25,DISTRICT38,PIECE
QUIN,2025-02-01,HEALTH CENTER,1307.0,0.0,212.0,1622.0,,,857,198.0,1000,DISTRICT35,TABLET
ACT-SC,2025-09-01,HEALTH CENTER,1557.0,306.0,1424.0,1647.0,,194.0,487,1316.0,30,DISTRICT26,BLISTER
ITN,2025-08-01,HEALTH CENTER,148.0,26.0,52.0,770.0,811.0,2.0,66,17.0,50,DISTRICT27,PIECE
ART-SUP,2024-02-01,HEALTH CENTER,745.0,0.0,153.0,103.0,1221.0,258.0,-425,231.0,2,DISTRICT16,CAPSULE
QUIN,2025-01-01,HEALTH CENTER,1349.0,1.0,339.0,706.0,,1149.0,-30,146.0,1000,DISTRICT17,TABLET
ACT-SC,2025-10-01,HEALTH CENTER,417.0,31.0,234.0,521.0,799.0,,171,50.0,30,DISTRICT23,BLISTER
QUIN,2024-03-01,HEALTH CENTER,452.0,71.0,354.0,1254.0,,592.0,-65,342.0,1000,DISTRICT17,TABLET
PYRA-SAC,2024-09-01,HEALTH CENTER,1856.0,41.0,217.0,1193.0,,3.0,437,56.0,1,DISTRICT23,SACHET
ACT-AD,2025-10-01,HEALTH CENTER,670.0,4219.0,149.0,1652.0,,2135.0,381,103.0,30,DISTRICT21,BLISTER
ACT-INF,2024-01-01,HEALTH CENTER,1351.0,13.0,211.0,687.0,,,-839,76.0,30,DISTRICT5,BLISTER
PYRA-COMP,2024-10-01,DISTRICT HOSPITAL,161.0,56.0,236.0,114.0,1112.0,1356.0,44,173.0,1,DISTRICT29,TABLET
ACT-SC,2024-04-01,HEALTH CENTER,1642.0,84.0,540.0,3382.0,879.0,333.0,-265,388.0,30,DISTRICT35,BLISTER
ACT-SC,2025-01-01,DISTRICT HOSPITAL,62.0,161.0,132.0,25.0,,2073.0,571,123.0,30,DISTRICT7,BLISTER
ART-INJ,2025-08-01,HEALTH CENTER,930.0,216.0,431.0,876.0,2019.0,,601,268.0,5,DISTRICT16,VIAL
ITN,2024-11-01,HEALTH CENTER,977.0,25.0,424.0,2593.0,,3562.0,732,346.0,50,DISTRICT30,PIECE
ACT-INF,2024-05-01,HEALTH CENTER,1067.0,876.0,260.0,1342.0,,1091.0,343,200.0,30,DISTRICT4,BLISTER
ACT-GC,2024-08-01,HEALTH CENTER,1457.0,0.0,510.0,1335.0,,8516.0,-203,262.0,30,DISTRICT20,BLISTER
ACT-SC,2025-11-01,HEALTH CENTER,922.0,0.0,22.0,226.0,788.0,,-809,41.0,30,DISTRICT33,BLISTER
ACT-SC,2025-11-01,HEALTH CENTER,324.0,0.0,131.0,75.0,536.0,,800,10.0,30,DISTRICT7,BLISTER
RDT,2024-05-01,HEALTH CENTER,4457.0,123.0,822.0,3965.0,,,-330,558.0,25,DISTRICT32,PIECE
RDT,2024-02-01,HEALTH CENTER,193.0,0.0,102.0,63.0,,189.0,384,27.0,25,DISTRICT18,PIECE
PYRA-COMP,2025-09-01,HEALTH CENTER,955.0,1674.0,598.0,1045.0,1441.0,59.0,-681,258.0,1,DISTRICT16,TABLET
ACT-AD,2024-04-01,HEALTH CENTER,2758.0,885.0,925.0,2289.0,,435.0,165,407.0,30,DISTRICT9,BLISTER
ACT-INF,2025-11-01,HEALTH CENTER,4561.0,12.0,1240.0,2209.0,1822.0,,-597,360.0,30,DISTRICT13,BLISTER
ACT-INF,2025-10-01,HEALTH CENTER,895.0,0.0,6.0,81.0,,288.0,563,6.0,30,DISTRICT9,BLISTER
ACT-GC,2024-07-01,HEALTH CENTER,4045.0,5.0,687.0,4747.0,,538.0,-154,802.0,30,DISTRICT25,BLISTER
ACT-GC,2025-06-01,HEALTH CENTER,537.0,0.0,300.0,237.0,530.0,4895.0,754,764.0,30,DISTRICT33,BLISTER
ACT-GC,2025-11-01,HEALTH CENTER,277.0,0.0,13.0,90.0,,,17,78.0,30,DISTRICT12,BLISTER
QUIN,2025-03-01,HEALTH CENTER,4473.0,1.0,1307.0,2257.0,,,6,1494.0,1000,DISTRICT21,TABLET
RDT,2024-09-01,HEALTH CENTER,243.0,0.0,102.0,128.0,,1317.0,474,19.0,25,DISTRICT10,PIECE
ACT-AD,2024-03-01,HEALTH CENTER,1054.0,0.0,64.0,1471.0,417.0,0.0,905,79.0,30,DISTRICT33,BLISTER
ITN,2024-08-01,HEALTH CENTER,2516.0,17.0,470.0,2812.0,,256.0,311,533.0,50,DISTRICT13,PIECE
SP,2025-08-01,HEALTH CENTER,371.0,0.0,108.0,228.0,,217.0,19,104.0,1000,DISTRICT35,TABLET
RDT,2025-09-01,DISTRICT HOSPITAL,3770.0,1755.0,1264.0,1949.0,,,-564,991.0,25,DISTRICT7,PIECE
ART-SUP,2024-09-01,HEALTH CENTER,2057.0,2.0,309.0,2051.0,,20.0,124,253.0,2,DISTRICT17,CAPSULE
ACT-INF,2025-03-01,HEALTH CENTER,178.0,0.0,73.0,257.0,,0.0,76,8.0,30,DISTRICT23,BLISTER
PYRA-SAC,2025-03-01,HEALTH CENTER,1798.0,5664.0,550.0,3019.0,,1.0,206,458.0,1,DISTRICT38,SACHET
ACT-GC,2024-09-01,HEALTH CENTER,3085.0,1.0,382.0,2253.0,,427.0,-460,391.0,30,DISTRICT25,BLISTER
ACT-SC,2025-03-01,HEALTH CENTER,29.0,1.0,6.0,101.0,,,551,1.0,30,DISTRICT23,BLISTER
ACT-INF,2024-01-01,HEALTH CENTER,425.0,1.0,318.0,57.0,1621.0,,401,541.0,30,DISTRICT9,BLISTER
ACT-INF,2023-12-01,HEALTH CENTER,115.0,4.0,26.0,163.0,,4738.0,1182,14.0,30,DISTRICT24,BLISTER
SP,2024-05-01,HEALTH CENTER,32.0,14.0,117.0,136.0,,168.0,-60,160.0,1000,DISTRICT29,TABLET
PYRA-COMP,2024-07-01,HEALTH CENTER,1176.0,70.0,517.0,4189.0,,38.0,-264,637.0,1,DISTRICT14,TABLET
RDT,2025-02-01,HEALTH CENTER,235.0,0.0,17.0,538.0,,0.0,234,38.0,25,DISTRICT9,PIECE
ITN,2025-05-01,HEALTH CENTER,58.0,1.0,103.0,83.0,,4078.0,375,121.0,50,DISTRICT26,PIECE
QUIN,2025-10-01,HEALTH CENTER,2676.0,0.0,412.0,1727.0,453.0,3.0,476,254.0,1000,DISTRICT20,TABLET
QUIN,2025-02-01,HEALTH CENTER,879.0,0.0,164.0,654.0,,10.0,-803,264.0,1000,DISTRICT9,TABLET
ACT-INF,2025-11-01,HEALTH CENTER,3729.0,147.0,613.0,4722.0,656.0,0.0,-757,172.0,30,DISTRICT17,BLISTER
ACT-SC,2024-05-01,HEALTH CENTER,151.0,803.0,129.0,1084.0,,1526.0,-264,107.0,30,DISTRICT21,BLISTER
ART-INJ,2024-12-01,HEALTH CENTER,4188.0,0.0,1088.0,1930.0,,,-155,1554.0,5,DISTRICT37,VIAL
ACT-INF,2025-03-01,HEALTH CENTER,7.0,37.0,19.0,30.0,,,-132,13.0,30,DISTRICT33,BLISTER
PYRA-SAC,2025-07-01,HEALTH CENTER,1454.0,78.0,396.0,1420.0,,3164.0,487,221.0,1,DISTRICT18,SACHET
SP,2023-12-01,HEALTH CENTER,596.0,255.0,214.0,2558.0,,,-230,522.0,1000,DISTRICT23,TABLET
ITN,2024-03-01,HEALTH CENTER,2842.0,32.0,858.0,1881.0,,7232.0,1070,836.0,50,DISTRICT38,PIECE
ART-INJ,2025-06-01,HEALTH CENTER,5699.0,5.0,947.0,2347.0,,13989.0,435,552.0,5,DISTRICT10,VIAL
ACT-INF,2023-12-01,HEALTH CENTER,1657.0,2.0,360.0,4288.0,,42.0,208,251.0,30,DISTRICT1,BLISTER
ACT-AD,2025-03-01,HEALTH CENTER,36.0,8.0,565.0,224.0,,,422,596.0,30,DISTRICT36,BLISTER
ACT-INF,2025-02-01,HEALTH CENTER,523.0,1.0,50.0,253.0,,,-883,16.0,30,DISTRICT31,BLISTER
ACT-INF,2024-03-01,HEALTH CENTER,139.0,69.0,80.0,1135.0,,0.0,-365,87.0,30,DISTRICT3,BLISTER
SP,2023-12-01,HEALTH CENTER,117.0,0.0,0.0,1.0,,42.0,-1012,2.0,1000,DISTRICT17,TABLET
PYRA-SAC,2024-08-01,DISTRICT HOSPITAL,177.0,725.0,158.0,912.0,595.0,0.0,-92,87.0,1,DISTRICT31,SACHET
ITN,2025-09-01,HEALTH CENTER,2627.0,188.0,515.0,2032.0,,0.0,500,613.0,50,DISTRICT10,PIECE
ACT-INF,2024-11-01,HEALTH CENTER,5.0,0.0,2.0,46.0,,121.0,181,1.0,30,DISTRICT9,BLISTER
ART-SUP,2025-07-01,HEALTH CENTER,301.0,1.0,102.0,328.0,218.0,,51,28.0,2,DISTRICT26,CAPSULE
ART-INJ,2025-06-01,HEALTH CENTER,114.0,23.0,66.0,858.0,371.0,5.0,137,81.0,5,DISTRICT14,VIAL
RDT,2024-05-01,HEALTH CENTER,195.0,0.0,13.0,60.0,,40.0,-264,3.0,25,DISTRICT38,PIECE
ACT-AD,2024-11-01,HEALTH CENTER,1497.0,0.0,280.0,504.0,989.0,1368.0,144,192.0,30,DISTRICT12,BLISTER
SP,2024-02-01,HEALTH CENTER,3348.0,0.0,1397.0,705.0,,5751.0,23,1154.0,1000,DISTRICT28,TABLET
SP,2025-03-01,HEALTH CENTER,6029.0,239.0,366.0,5717.0,,0.0,-737,252.0,1000,DISTRICT31,TABLET
PYRA-SAC,2024-02-01,HEALTH CENTER,343.0,21.0,71.0,426.0,,429.0,18,59.0,1,DISTRICT1,SACHET
PYRA-SAC,2025-08-01,HEALTH CENTER,2816.0,1350.0,1241.0,2978.0,,0.0,-100,1436.0,1,DISTRICT14,SACHET
ART-INJ,2024-09-01,REGIONAL HOSPITAL,13.0,0.0,12.0,37.0,,0.0,816,0.0,5,DISTRICT18,VIAL
ACT-GC,2024-09-01,HEALTH CENTER,686.0,0.0,458.0,173.0,,,274,266.0,30,DISTRICT33,BLISTER
SP,2025-09-01,HEALTH CENTER,194.0,34.0,508.0,477.0,1004.0,1557.0,453,401.0,1000,DISTRICT18,TABLET
ACT-SC,2024-04-01,HEALTH CENTER,530.0,14.0,96.0,1369.0,673.0,19.0,205,71.0,30,DISTRICT9,BLISTER
ACT-INF,2025-01-01,HEALTH CENTER,2926.0,689.0,1569.0,2976.0,,549.0,150,718.0,30,DISTRICT13,BLISTER
ACT-INF,2025-06-01,HEALTH CENTER,400.0,38.0,239.0,418.0,,1730.0,268,422.0,30,DISTRICT17,BLISTER
SP,2023-12-01,HEALTH CENTER,77.0,8.0,79.0,92.0,,2.0,441,17.0,1000,DISTRICT28,TABLET
ACT-AD,2025-02-01,NATIONAL HOSPITAL,111.0,8.0,138.0,241.0,,0.0,-581,108.0,30,DISTRICT31,BLISTER
ART-SUP,2024-02-01,HEALTH CENTER,103.0,95.0,35.0,1215.0,280.0,0.0,206,23.0,2,DISTRICT5,CAPSULE
PYRA-COMP,2025-11-01,HEALTH CENTER,567.0,960.0,172.0,1098.0,,,139,5.0,1,DISTRICT30,TABLET
ACT-AD,2024-05-01,HEALTH CENTER,4760.0,1.0,486.0,4138.0,,,-317,324.0,30,DISTRICT16,BLISTER
SP,2024-07-01,HEALTH CENTER,2340.0,8.0,486.0,1954.0,,563.0,-44,453.0,1000,DISTRICT32,TABLET
ACT-SC,2024-03-01,HEALTH CENTER,694.0,196.0,296.0,982.0,505.0,6.0,-785,167.0,30,DISTRICT8,BLISTER
SP,2024-09-01,HEALTH CENTER,97.0,0.0,87.0,183.0,480.0,11036.0,-544,94.0,1000,DISTRICT36,TABLET
PYRA-SAC,2025-08-01,REGIONAL HOSPITAL,658.0,1274.0,78.0,3642.0,,3507.0,224,104.0,1,DISTRICT37,SACHET
ART-SUP,2025-08-01,HEALTH CENTER,513.0,99.0,32.0,79.0,769.0,0.0,-609,70.0,2,DISTRICT2,CAPSULE
ART-SUP,2025-08-01,HEALTH CENTER,142.0,5.0,121.0,30.0,,0.0,-721,50.0,2,DISTRICT32,CAPSULE
PYRA-COMP,2024-02-01,HEALTH CENTER,934.0,1.0,206.0,845.0,605.0,985.0,84,204.0,1,DISTRICT33,TABLET
SP,2024-01-01,HEALTH CENTER,204.0,47.0,25.0,332.0,,0.0,-284,144.0,1000,DISTRICT14,TABLET
ACT-SC,2024-04-01,HEALTH CENTER,253.0,0.0,82.0,82.0,,0.0,-586,83.0,30,DISTRICT6,BLISTER
RDT,2025-11-01,HEALTH CENTER,264.0,8.0,96.0,165.0,,2353.0,-434,58.0,25,DISTRICT23,PIECE
SP,2025-01-01,HEALTH CENTER,244.0,3.0,207.0,1123.0,,0.0,-407,245.0,1000,DISTRICT31,TABLET
ACT-GC,2024-07-01,HEALTH CENTER,5458.0,83.0,1306.0,5367.0,,,-372,511.0,30,DISTRICT28,BLISTER
ITN,2024-04-01,HEALTH CENTER,158.0,1.0,115.0,14.0,500.0,42.0,534,64.0,50,DISTRICT19,PIECE
RDT,2024-08-01,HEALTH CENTER,1084.0,0.0,126.0,316.0,,32.0,141,12.0,25,DISTRICT14,PIECE
ACT-AD,2025-06-01,HEALTH CENTER,56.0,0.0,66.0,46.0,,1545.0,-3,15.0,30,DISTRICT33,BLISTER
ACT-INF,2025-09-01,HEALTH CENTER,1362.0,4.0,299.0,2150.0,,14.0,-106,212.0,30,DISTRICT22,BLISTER
QUIN,2024-01-01,REGIONAL HOSPITAL,205.0,0.0,39.0,117.0,,0.0,-384,1.0,1000,DISTRICT14,TABLET
ACT-GC,2025-06-01,HEALTH CENTER,6.0,0.0,5.0,18.0,,0.0,-456,0.0,30,DISTRICT35,BLISTER
PYRA-SAC,2024-03-01,HEALTH CENTER,1034.0,13.0,102.0,1429.0,489.0,0.0,208,91.0,1,DISTRICT29,SACHET
ART-SUP,2024-10-01,HEALTH CENTER,660.0,79.0,41.0,388.0,,0.0,-925,8.0,2,DISTRICT17,CAPSULE
ITN,2024-10-01,HEALTH CENTER,177.0,0.0,37.0,148.0,,0.0,-605,14.0,50,DISTRICT29,PIECE
PYRA-COMP,2024-04-01,HEALTH CENTER,1837.0,336.0,783.0,1993.0,1668.0,3421.0,668,667.0,1,DISTRICT32,TABLET
RDT,2024-05-01,HEALTH CENTER,191.0,70.0,64.0,979.0,,15.0,-570,13.0,25,DISTRICT32,PIECE
QUIN,2025-07-01,HEALTH CENTER,1463.0,22.0,1264.0,783.0,588.0,925.0,-39,933.0,1000,DISTRICT33,TABLET
PYRA-COMP,2024-08-01,HEALTH CENTER,360.0,1.0,376.0,358.0,,73.0,-4,337.0,1,DISTRICT20,TABLET
PYRA-SAC,2024-07-01,REGIONAL HOSPITAL,1175.0,196.0,120.0,1760.0,,237.0,29,57.0,1,DISTRICT25,SACHET
QUIN,2024-05-01,HEALTH CENTER,429.0,0.0,167.0,1226.0,,0.0,13,56.0,1000,DISTRICT25,TABLET
PYRA-SAC,2025-05-01,HEALTH CENTER,463.0,652.0,74.0,163.0,370.0,0.0,-269,48.0,1,DISTRICT32,SACHET
ART-INJ,2024-07-01,HEALTH CENTER,192.0,0.0,25.0,97.0,,0.0,46,2.0,5,DISTRICT37,VIAL
ACT-INF,2024-11-01,HEALTH CENTER,4176.0,0.0,204.0,1951.0,313.0,4.0,132,180.0,30,DISTRICT20,BLISTER
SP,2024-12-01,HEALTH CENTER,2306.0,0.0,265.0,951.0,,,-23,136.0,1000,DISTRICT22,TABLET
ART-SUP,2025-07-01,HEALTH CENTER,997.0,0.0,435.0,723.0,,7089.0,347,325.0,2,DISTRICT24,CAPSULE
PYRA-SAC,2025-02-01,HEALTH CENTER,109.0,21.0,45.0,53.0,2514.0,9600.0,118,19.0,1,DISTRICT28,SACHET
PYRA-COMP,2024-06-01,HEALTH CENTER,2681.0,1589.0,668.0,4181.0,,0.0,296,547.0,1,DISTRICT14,TABLET
RDT,2025-04-01,HEALTH CENTER,1029.0,4.0,61.0,999.0,1284.0,0.0,-364,33.0,25,DISTRICT31,PIECE
ACT-INF,2024-01-01,HEALTH CENTER,753.0,41.0,407.0,1057.0,1824.0,1928.0,101,511.0,30,DISTRICT9,BLISTER
ART-INJ,2025-11-01,HEALTH CENTER,0.0,0.0,8.0,1.0,1062.0,17.0,-181,0.0,5,DISTRICT10,VIAL
ACT-INF,2024-01-01,HEALTH CENTER,442.0,0.0,221.0,29.0,2974.0,16188.0,-290,137.0,30,DISTRICT29,BLISTER
RDT,2024-02-01,HEALTH CENTER,209.0,18.0,76.0,120.0,,938.0,-171,20.0,25,DISTRICT35,PIECE
ACT-INF,2024-10-01,HEALTH CENTER,3671.0,11.0,563.0,4216.0,,3.0,-127,1079.0,30,DISTRICT23,BLISTER
QUIN,2024-01-01,HEALTH CENTER,1886.0,3.0,213.0,322.0,,,-665,76.0,1000,DISTRICT19,TABLET
ACT-SC,2025-02-01,DISTRICT HOSPITAL,5231.0,0.0,509.0,2607.0,914.0,275.0,-923,104.0,30,DISTRICT29,BLISTER
ART-SUP,2024-07-01,HEALTH CENTER,6.0,93.0,3.0,141.0,,1669.0,159,4.0,2,DISTRICT31,CAPSULE
ART-SUP,2025-11-01,HEALTH CENTER,1110.0,0.0,313.0,508.0,1487.0,26.0,-168,235.0,2,DISTRICT25,CAPSULE
ACT-INF,2024-03-01,DISTRICT HOSPITAL,363.0,160.0,167.0,252.0,,17.0,707,83.0,30,DISTRICT1,BLISTER
ACT-AD,2025-07-01,REGIONAL HOSPITAL,7.0,1.0,28.0,16.0,,17.0,-174,29.0,30,DISTRICT9,BLISTER
ACT-SC,2025-05-01,HEALTH CENTER,5276.0,178.0,745.0,4279.0,853.0,,-170,399.0,30,DISTRICT22,BLISTER
ART-SUP,2025-08-01,HEALTH CENTER,102.0,0.0,30.0,35.0,,69.0,352,4.0,2,DISTRICT4,CAPSULE
ACT-INF,2024-08-01,HEALTH CENTER,955.0,0.0,68.0,652.0,,27.0,18,45.0,30,DISTRICT1,BLISTER
ART-INJ,2025-04-01,HEALTH CENTER,111.0,94.0,82.0,767.0,180.0,0.0,-181,77.0,5,DISTRICT37,VIAL
ACT-SC,2024-08-01,HEALTH CENTER,1704.0,0.0,835.0,816.0,,33.0,218,692.0,30,DISTRICT31,BLISTER
ACT-AD,2025-11-01,HEALTH CENTER,52.0,8.0,255.0,91.0,,32.0,443,92.0,30,DISTRICT18,BLISTER
RDT,2024-04-01,HEALTH CENTER,72.0,2.0,87.0,38.0,,,317,35.0,25,DISTRICT32,PIECE
ART-SUP,2024-04-01,HEALTH CENTER,125.0,4.0,69.0,1589.0,,0.0,79,38.0,2,DISTRICT21,CAPSULE
PYRA-SAC,2024-08-01,HEALTH CENTER,108.0,0.0,74.0,16.0,,,-891,73.0,1,DISTRICT1,SACHET
ART-INJ,2025-05-01,HEALTH CENTER,301.0,25.0,99.0,266.0,161.0,0.0,187,48.0,5,DISTRICT35,VIAL
SP,2024-03-01,HEALTH CENTER,277.0,190.0,100.0,580.0,,156.0,-222,111.0,1000,DISTRICT9,TABLET
ART-INJ,2024-02-01,HEALTH CENTER,1162.0,125.0,116.0,1397.0,786.0,,36,272.0,5,DISTRICT26,VIAL
RDT,2024-05-01,HEALTH CENTER,49.0,0.0,106.0,293.0,,24.0,298,23.0,25,DISTRICT31,PIECE
ACT-AD,2024-07-01,HEALTH CENTER,42.0,0.0,0.0,2.0,,,-757,0.0,30,DISTRICT30,BLISTER
PYRA-COMP,2025-11-01,HEALTH CENTER,9.0,0.0,0.0,6.0,,17.0,-32,0.0,1,DISTRICT5,TABLET
ART-SUP,2024-08-01,HEALTH CENTER,43.0,64.0,29.0,237.0,996.0,60.0,-849,6.0,2,DISTRICT12,CAPSULE
RDT,2024-07-01,HEALTH CENTER,57.0,69.0,31.0,37.0,82.0,0.0,509,3.0,25,DISTRICT31,PIECE
PYRA-COMP,2024-10-01,HEALTH CENTER,318.0,0.0,30.0,193.0,,0.0,745,31.0,1,DISTRICT18,TABLET
QUIN,2024-09-01,HEALTH CENTER,2320.0,0.0,425.0,1491.0,,473.0,-9,730.0,1000,DISTRICT25,TABLET
ACT-AD,2024-07-01,HEALTH CENTER,847.0,744.0,381.0,2032.0,,,18,903.0,30,DISTRICT21,BLISTER
ITN,2025-08-01,HEALTH CENTER,1948.0,13.0,190.0,806.0,,2.0,-411,52.0,50,DISTRICT25,PIECE
ACT-INF,2025-04-01,HEALTH CENTER,750.0,11.0,195.0,1025.0,,,299,54.0,30,DISTRICT33,BLISTER
ITN,2024-08-01,HEALTH CENTER,5313.0,0.0,319.0,2976.0,,0.0,-36,480.0,50,DISTRICT21,PIECE
RDT,2024-08-01,HEALTH CENTER,1145.0,2.0,283.0,693.0,903.0,472.0,-776,218.0,25,DISTRICT37,PIECE
ACT-SC,2025-09-01,HEALTH CENTER,75.0,1012.0,155.0,158.0,,,167,25.0,30,DISTRICT29,BLISTER
ACT-SC,2025-11-01,HEALTH CENTER,4284.0,0.0,604.0,1452.0,,183.0,-178,843.0,30,DISTRICT37,BLISTER
ACT-GC,2024-06-01,HEALTH CENTER,1092.0,101.0,187.0,2164.0,396.0,,608,94.0,30,DISTRICT29,BLISTER
ART-SUP,2025-02-01,HEALTH CENTER,442.0,67.0,36.0,405.0,,,-517,9.0,2,DISTRICT1,CAPSULE
ACT-AD,2025-10-01,HEALTH CENTER,353.0,14.0,277.0,979.0,,1276.0,53,196.0,30,DISTRICT1,BLISTER
ACT-INF,2025-04-01,HEALTH CENTER,612.0,0.0,61.0,759.0,,3.0,57,58.0,30,DISTRICT1,BLISTER
QUIN,2025-10-01,HEALTH CENTER,1157.0,574.0,506.0,1810.0,,,333,503.0,1000,DISTRICT3,TABLET
PYRA-SAC,2023-12-01,HEALTH CENTER,642.0,38.0,188.0,476.0,1194.0,1248.0,369,323.0,1,DISTRICT15,SACHET
PYRA-COMP,2024-03-01,HEALTH CENTER,19.0,0.0,8.0,11.0,,3784.0,-184,0.0,1,DISTRICT29,TABLET
ART-SUP,2024-06-01,HEALTH CENTER,153.0,295.0,122.0,204.0,1112.0,2923.0,-252,77.0,2,DISTRICT3,CAPSULE
ACT-GC,2025-09-01,HEALTH CENTER,2721.0,3.0,849.0,2543.0,729.0,10495.0,-285,718.0,30,DISTRICT13,BLISTER
ACT-GC,2024-04-01,HEALTH CENTER,1876.0,9.0,235.0,1830.0,,20.0,-114,151.0,30,DISTRICT13,BLISTER
PYRA-SAC,2025-11-01,DISTRICT HOSPITAL,59.0,124.0,31.0,126.0,,1.0,-518,3.0,1,DISTRICT20,SACHET
ITN,2025-03-01,HEALTH CENTER,255.0,0.0,18.0,128.0,,82.0,102,3.0,50,DISTRICT23,PIECE
SP,2025-02-01,HEALTH CENTER,83.0,182.0,79.0,137.0,,0.0,199,55.0,1000,DISTRICT11,TABLET
PYRA-COMP,2025-06-01,HEALTH CENTER,1397.0,577.0,339.0,2256.0,,0.0,430,41.0,1,DISTRICT37,TABLET
ACT-GC,2024-10-01,HEALTH CENTER,465.0,335.0,151.0,1187.0,,1.0,-282,89.0,30,DISTRICT13,BLISTER
ACT-INF,2025-08-01,HEALTH CENTER,1882.0,850.0,841.0,3197.0,,1713.0,863,660.0,30,DISTRICT7,BLISTER
QUIN,2024-02-01,HEALTH CENTER,289.0,2.0,132.0,718.0,,61.0,-345,75.0,1000,DISTRICT31,TABLET
PYRA-SAC,2024-07-01,HEALTH CENTER,977.0,43.0,470.0,1552.0,,,3,232.0,1,DISTRICT29,SACHET
PYRA-SAC,2024-06-01,HEALTH CENTER,776.0,310.0,265.0,207.0,,265.0,-248,356.0,1,DISTRICT19,SACHET
ACT-SC,2024-03-01,HEALTH CENTER,91.0,0.0,4.0,9.0,818.0,137.0,-593,1.0,30,DISTRICT20,BLISTER
QUIN,2025-03-01,HEALTH CENTER,847.0,3.0,465.0,1562.0,,1495.0,368,306.0,1000,DISTRICT29,TABLET
RDT,2024-06-01,HEALTH CENTER,2370.0,0.0,470.0,287.0,,1313.0,-221,309.0,25,DISTRICT24,PIECE
ACT-INF,2025-11-01,HEALTH CENTER,4167.0,70.0,1770.0,4178.0,,3400.0,649,1157.0,30,DISTRICT20,BLISTER
RDT,2024-05-01,HEALTH CENTER,920.0,20.0,88.0,1712.0,,4.0,-116,69.0,25,DISTRICT9,PIECE
ART-INJ,2024-03-01,HEALTH CENTER,1142.0,12.0,620.0,392.0,,165.0,28,287.0,5,DISTRICT20,VIAL
ACT-SC,2023-12-01,HEALTH CENTER,1062.0,81.0,185.0,1616.0,,5.0,-25,230.0,30,DISTRICT14,BLISTER
QUIN,2024-01-01,HEALTH CENTER,274.0,0.0,92.0,219.0,,,343,39.0,1000,DISTRICT24,TABLET
ACT-GC,2024-08-01,DISTRICT HOSPITAL,2525.0,64.0,498.0,2495.0,,,270,158.0,30,DISTRICT13,BLISTER
ACT-INF,2025-08-01,HEALTH CENTER,1220.0,82.0,608.0,1856.0,,,-593,431.0,30,DISTRICT19,BLISTER
ACT-GC,2025-04-01,HEALTH CENTER,5829.0,166.0,1057.0,1987.0,,,-349,880.0,30,DISTRICT32,BLISTER
ACT-INF,2024-12-01,HEALTH CENTER,932.0,62.0,220.0,875.0,,761.0,-219,166.0,30,DISTRICT28,BLISTER
QUIN,2025-07-01,HEALTH CENTER,926.0,39.0,403.0,1726.0,,1130.0,89,247.0,1000,DISTRICT5,TABLET
ACT-AD,2025-09-01,HEALTH CENTER,53.0,2.0,10.0,26.0,,15.0,-26,2.0,30,DISTRICT8,BLISTER
ART-SUP,2025-08-01,HEALTH CENTER,2273.0,51.0,1083.0,1657.0,,1134.0,379,774.0,2,DISTRICT9,CAPSULE
ART-INJ,2024-08-01,HEALTH CENTER,3729.0,700.0,1037.0,3542.0,1067.0,17.0,-569,1449.0,5,DISTRICT20,VIAL
ITN,2024-04-01,HEALTH CENTER,37.0,173.0,34.0,88.0,422.0,0.0,-377,4.0,50,DISTRICT19,PIECE
SP,2024-10-01,HEALTH CENTER,1207.0,4.0,212.0,990.0,,1926.0,-15,96.0,1000,DISTRICT23,TABLET
ACT-SC,2025-05-01,HEALTH CENTER,2053.0,0.0,228.0,1130.0,,,-48,81.0,30,DISTRICT30,BLISTER
SP,2024-03-01,HEALTH CENTER,2373.0,0.0,484.0,498.0,,1837.0,215,783.0,1000,DISTRICT9,TABLET
